Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10025913.422885:32844403293410.000000:16640.000000:19959360.000000
IPGS:10018473.985297:32840163288003.167969:10846.000000:19952016.000000
IPTR:5018520.621862:8227725088102.644531:14956.000000:10010035.000000
IPGR:6342.783278:1036617.509638:5897.000000:30487.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	268976450684813	268976450731175	7425042652599905	7425044754178475	1625322770.876450	1625322630.219688
1	1	268976457317387	268976457329274	7425044754186328	7425044760768665	1625322770.883067	1625322630.226298
2	2	268976461577290	268976461585549	7425044760775096	7425044764997168	1625322770.887336	1625322630.230538
3	3	268976464363291	268976464370880	7425044765003483	7425044767833912	1625322770.890129	1625322630.233383
4	4	268976470981587	268976470989078	7425044767840086	7425044774404897	1625322770.896767	1625322630.239973
5	5	268976480937843	268976480945443	7425044774411195	7425044784360187	1625322770.906752	1625322630.249957
6	6	268976490546579	268976490554080	7425044784366574	7425044793966773	1625322770.916389	1625322630.259592
7	7	268976496780691	268976496788144	7425044793973016	7425044800189095	1625322770.922641	1625322630.265832
8	8	268976497423507	268976497429957	7425044800195269	7425044800831828	1625322770.923285	1625322630.266477
9	9	268976507164499	268976507172298	7425044800837953	7425044810592287	1625322770.933055	1625322630.276265
10	10	268976514971091	268976514978545	7425044810598449	7425044818406893	1625322770.940884	1625322630.284103
11	11	268976523826355	268976523833748	7425044818413167	7425044827267779	1625322770.949765	1625322630.292989
12	12	268976532272531	268976532279920	7425044827274029	7425044835679613	1625322770.958236	1625322630.301425
13	13	268976537413707	268976537424346	7425044835685862	7425044840859400	1625322770.963395	1625322630.306620
14	14	268976542669715	268976542677433	7425044840865681	7425044846083290	1625322770.968664	1625322630.311859
15	15	268976550154547	268976550163033	7425044846089542	7425044853589397	1625322770.976171	1625322630.319387
16	16	268976558200248	268976558212574	7425044853595793	7425044861511466	1625322770.984138	1625322630.327332
17	17	268976559925014	268976559931641	7425044861517904	7425044862360091	1625322770.985000	1625322630.328183
18	18	268976566174358	268976566182154	7425044862366389	7425044865502721	1625322770.988134	1625322630.331335
19	19	268976573905110	268976573912591	7425044865509090	7425044869379437	1625322770.992011	1625322630.335223
20	20	268976590954099	268976590961684	7425044869385679	7425044877890882	1625322771.000560	1625322630.343759
21	21	268976607399190	268976607406912	7425044877897186	7425044886103788	1625322771.008806	1625322630.351995
22	22	268976612040854	268976612048512	7425044886110051	7425044888438798	1625322771.011134	1625322630.354337
23	23	268976630168790	268976630176299	7425044888445026	7425044897502277	1625322771.020224	1625322630.363427
24	24	268976631643990	268976631650358	7425044897508542	7425044898247476	1625322771.020964	1625322630.364174
25	25	268976640178390	268976640185999	7425044898253736	7425044902529872	1625322771.025244	1625322630.368469
26	26	268976652497942	268976652505408	7425044902536137	7425044908651919	1625322771.031422	1625322630.374609
27	27	268976652791126	268976652797489	7425044908658206	7425044908797407	1625322771.031568	1625322630.374755
28	28	268976669940758	268976669948316	7425044908803512	7425044917414816	1625322771.040168	1625322630.383397
29	29	268976688022294	268976688029872	7425044917421152	7425044926423060	1625322771.049235	1625322630.392432
30	30	268976703100246	268976703107896	7425044926429399	7425044933990894	1625322771.056796	1625322630.400021
31	31	268976718594966	268976718602455	7425044933997193	7425044941703863	1625322771.064566	1625322630.407757
32	32	268976730534678	268976730542787	7425044941710087	7425044947672933	1625322771.070554	1625322630.413743
33	33	268976737487254	268976737495056	7425044947679136	7425044951152051	1625322771.074040	1625322630.417232
34	34	268976742611286	268976742617649	7425044951158345	7425044953738859	1625322771.076609	1625322630.419826
35	35	268976758082326	268976758089812	7425044953745292	7425044961463395	1625322771.084367	1625322630.427573
36	36	268976772480598	268976772488208	7425044961469817	7425044968683560	1625322771.091587	1625322630.434814
37	37	268976787415508	268976787424808	7425044968689841	7425044976160519	1625322771.099077	1625322630.442313
38	38	268976801564182	268976801571973	7425044976166852	7425044983218788	1625322771.106172	1625322630.449392
39	39	268976806476950	268976806483369	7425044983225058	7425044985654406	1625322771.108634	1625322630.451834
40	40	268976816418838	268976816426332	7425044985660608	7425044990634888	1625322771.113621	1625322630.456829
41	41	268976829104214	268976829111891	7425044990641172	7425044996956332	1625322771.119982	1625322630.463169
42	42	268976845594545	268976845603646	7425044996962597	7425045005219823	1625322771.128251	1625322630.471456
43	43	268976851118358	268976851125901	7425045005226063	7425045007956456	1625322771.131021	1625322630.474201
44	44	268976854542742	268976854549210	7425045007962769	7425045009697725	1625322771.132737	1625322630.475947
