Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10018633.849670:33701348310992.191406:16318.000000:20033533.000000
IPGS:10011278.244149:33697170958742.367188:10755.000000:20020939.000000
IPTR:5014414.308431:8443707425044.861328:15009.000000:10015838.000000
IPGR:6376.472447:1174134.883793:5903.000000:30696.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	354929560719234	354929560781937	7510642921323040	7510644294821902	1625408613.015924	1625408470.175306
1	1	354929570648139	354929570660380	7510644294829713	7510644304697688	1625408613.025831	1625408470.185210
2	2	354929578913795	354929578921607	7510644304704246	7510644312965477	1625408613.034116	1625408470.193502
3	3	354929587407679	354929587415201	7510644312971891	7510644321430855	1625408613.042635	1625408470.201991
4	4	354929594991772	354929595000879	7510644321437099	7510644329045446	1625408613.050242	1625408470.209628
5	5	354929601578069	354929601585646	7510644329051726	7510644335616039	1625408613.056847	1625408470.216218
6	6	354929610056277	354929610063766	7510644335622272	7510644344088908	1625408613.065349	1625408470.224715
7	7	354929611794325	354929611800808	7510644344095251	7510644345816641	1625408613.067091	1625408470.226448
8	8	354929614590773	354929614598321	7510644345822849	7510644348607772	1625408613.069897	1625408470.229247
9	9	354929615943193	354929615949550	7510644348614067	7510644349996807	1625408613.071252	1625408470.230640
10	10	354929625323573	354929625331095	7510644350002983	7510644359359581	1625408613.080661	1625408470.240030
11	11	354929634490517	354929634498014	7510644359365865	7510644368518623	1625408613.089855	1625408470.249215
12	12	354929640348021	354929640355611	7510644368524988	7510644374392075	1625408613.095729	1625408470.255106
13	13	354929649892473	354929649899963	7510644374398419	7510644383949085	1625408613.105301	1625408470.264691
14	14	354929657401141	354929657408602	7510644383955347	7510644391415584	1625408613.112832	1625408470.272179
15	15	354929661823477	354929661830915	7510644391422010	7510644395845746	1625408613.117267	1625408470.276622
16	16	354929668778113	354929668788505	7510644395852090	7510644402714978	1625408613.124141	1625408470.283511
17	17	354929680940249	354929680947907	7510644402721423	7510644408788303	1625408613.130238	1625408470.289602
18	18	354929690471385	354929690479601	7510644408794622	7510644413564267	1625408613.135018	1625408470.294392
19	19	354929707183453	354929707190911	7510644413570688	7510644421921525	1625408613.143398	1625408470.302773
20	20	354929725467041	354929725474617	7510644421927961	7510644431038786	1625408613.152566	1625408470.311917
21	21	354929736956637	354929736964129	7510644431060829	7510644436812854	1625408613.158328	1625408470.317707
22	22	354929748979681	354929748987185	7510644436819210	7510644442834764	1625408613.164357	1625408470.323747
23	23	354929756702173	354929756709659	7510644442841097	7510644446668071	1625408613.168229	1625408470.327591
24	24	354929768944353	354929768951917	7510644446674279	7510644452801697	1625408613.174368	1625408470.333743
