Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9999277.782957:33251219757796.484375:19735.000000:19959391.000000
IPGS:9991876.868774:33247011199024.832031:14218.000000:19950843.000000
IPTR:5004672.259326:8316024680381.852539:15002.000000:10016237.000000
IPGR:6362.410241:1135296.461411:5898.000000:36744.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	815294953014760	815294953046532	7969541217063987	7969542337514829	1625868760.435430	1625868605.932203
1	1	815294956910843	815294956922160	7969542337522577	7969542341379421	1625868760.439317	1625868605.936078
2	2	815294958010351	815294958017111	7969542341385769	7969542342468454	1625868760.440415	1625868605.937170
3	3	815294961295456	815294961302900	7969542342474674	7969542345757185	1625868760.443710	1625868605.940468
4	4	815294964070061	815294964077503	7969542345763348	7969542348540955	1625868760.446493	1625868605.943260
5	5	815294968202413	815294968209905	7969542348547082	7969542352676124	1625868760.450637	1625868605.947407
6	6	815294972566229	815294972575205	7969542352682262	7969542357056405	1625868760.455015	1625868605.951800
7	7	815294979896685	815294979904171	7969542357062532	7969542364372161	1625868760.462365	1625868605.959137
8	8	815294987053101	815294987060781	7969542364378757	7969542371540606	1625868760.469543	1625868605.966326
9	9	815294996349965	815294996357445	7969542371546927	7969542380862214	1625868760.478867	1625868605.975675
10	10	815295004415053	815295004422563	7969542380868488	7969542388912786	1625868760.486955	1625868605.983749
11	11	815295010286893	815295010294377	7969542388919072	7969542394785719	1625868760.492844	1625868605.989639
12	12	815295017287597	815295017295137	7969542394792047	7969542401754230	1625868760.499865	1625868605.996628
13	13	815295024727693	815295024735225	7969542401760488	7969542409221468	1625868760.507327	1625868606.004116
14	14	815295029713549	815295029721115	7969542409227816	7969542414198246	1625868760.512327	1625868606.009108
15	15	815295032033773	815295032041225	7969542414204524	7969542416484058	1625868760.514654	1625868606.011400
16	16	815295037013261	815295037020787	7969542416490380	7969542421515717	1625868760.519648	1625868606.016446
17	17	815295039351789	815295039359241	7969542421522053	7969542423801024	1625868760.521994	1625868606.018738
18	18	815295041158925	815295041165398	7969542423807415	7969542425647256	1625868760.523805	1625868606.020590
19	19	815295043919885	815295043927389	7969542425653592	7969542428430760	1625868760.526575	1625868606.023381
