Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9941749.208242:33278425566382.054688:23188.000000:21076224.000000
IPGS:9934366.512102:33274450696157.097656:17776.000000:21066645.000000
IPTR:4976111.895290:8328381460075.327148:14634.000000:10502831.000000
IPGR:6289.155316:1015107.306841:5907.000000:32675.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	419018003164600	419018003201433	7574523010391844	7574525851322982	1625472678.720669	1625472534.256516
1	1	419018008086927	419018008099100	7574525851330927	7574525856173079	1625472678.725581	1625472534.261379
2	2	419018016668614	419018016676393	7574525856179445	7574525864731604	1625472678.734183	1625472534.269962
3	3	419018026607809	419018026616102	7574525864737819	7574525874703168	1625472678.744151	1625472534.279963
4	4	419018029996641	419018030004075	7574525874709503	7574525878069101	1625472678.747549	1625472534.283339
5	5	419018039243745	419018039251223	7574525878075348	7574525887330304	1625472678.756823	1625472534.292627
6	6	419018041537345	419018041544705	7574525887336537	7574525889615634	1625472678.759123	1625472534.294919
7	7	419018044137953	419018044145409	7574525889621789	7574525892207951	1625472678.761732	1625472534.297519
8	8	419018052240193	419018052248421	7574525892214205	7574525900316956	1625472678.769858	1625472534.305651
9	9	419018052355627	419018052362049	7574525900323235	7574525900409830	1625472678.769972	1625472534.305744
10	10	419018060735969	419018060743309	7574525900415959	7574525908823708	1625472678.778378	1625472534.314182
11	11	419018069297441	419018069304861	7574525908830023	7574525917396382	1625472678.786964	1625472534.322780
12	12	419018071069057	419018071075477	7574525917402597	7574525919136946	1625472678.788740	1625472534.324525
13	13	419018072685313	419018072692651	7574525919143234	7574525920775816	1625472678.790362	1625472534.326169
14	14	419018081567297	419018081574669	7574525920782114	7574525929640269	1625472678.799270	1625472534.335059
15	15	419018085794689	419018085802093	7574525929646494	7574525933921261	1625472678.803510	1625472534.339353
16	16	419018087903361	419018087910769	7574525933927466	7574525935962113	1625472678.805624	1625472534.341399
17	17	419018092139969	419018092147365	7574525935968427	7574525940194729	1625472678.809874	1625472534.345644
18	18	419018095072929	419018095079327	7574525940201034	7574525943130074	1625472678.812814	1625472534.348588
19	19	419018098210849	419018098218221	7574525943136366	7574525946261838	1625472678.815962	1625472534.351729
20	20	419018104882753	419018104890163	7574525946268102	7574525952935436	1625472678.822653	1625472534.358422
21	21	419018108249969	419018108261463	7574525952941664	7574525956320049	1625472678.826035	1625472534.361816
22	22	419018114443828	419018114454503	7574525956326294	7574525962455963	1625472678.832139	1625472534.367970
23	23	419018126381520	419018126389212	7574525962462204	7574525968366296	1625472678.838124	1625472534.373897
24	24	419018130365840	419018130372310	7574525968372513	7574525970353692	1625472678.840121	1625472534.375890
25	25	419018135184784	419018135192282	7574525970359983	7574525972796572	1625472678.842539	1625472534.378340
26	26	419018150711120	419018150718679	7574525972802838	7574525980561901	1625472678.850324	1625472534.386128
27	27	419018165505424	419018165513026	7574525980568181	7574525987928614	1625472678.857743	1625472534.393516
28	28	419018169019408	419018169025976	7574525987934901	7574525989718908	1625472678.859505	1625472534.395312
29	29	419018174504400	419018174511906	7574525989725191	7574525992458501	1625472678.862256	1625472534.398059
30	30	419018187994512	419018188002079	7574525992464693	7574525999202000	1625472678.869020	1625472534.404822
31	31	419018196010512	419018196018879	7574525999208229	7574526003200501	1625472678.873040	1625472534.408832
32	32	419018196310096	419018196316453	7574526003206766	7574526003348360	1625472678.873189	1625472534.408980
33	33	419018207183656	419018207192775	7574526003354530	7574526008775573	1625472678.878643	1625472534.414424
34	34	419018226059920	419018226067510	7574526008781783	7574526018261573	1625472678.888108	1625472534.423937
35	35	419018230301648	419018230309286	7574526018268078	7574526020330491	1625472678.890235	1625472534.426012
36	36	419018245972244	419018245979904	7574526020336747	7574526028198145	1625472678.898093	1625472534.433902
37	37	419018249292816	419018249299260	7574526028204376	7574526029836523	1625472678.899758	1625472534.435545
38	38	419018263772560	419018263780142	7574526029842794	7574526037057885	1625472678.907020	1625472534.442788
39	39	419018280004624	419018280012278	7574526037064089	7574526045221304	1625472678.915159	1625472534.450975
40	40	419018286168080	419018286175520	7574526045227466	7574526048257613	1625472678.918250	1625472534.454020
41	41	419018296755664	419018296763246	7574526048263804	7574526053583713	1625472678.923559	1625472534.459362
