Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10002039.605021:33479744242057.617188:19901.000000:24073335.000000
IPGS:9994614.253651:33475462462203.339844:14521.000000:24010540.000000
IPTR:5006503.939394:8375913670024.331055:14624.000000:12056841.000000
IPGR:6289.431343:1333219.908643:5892.000000:45210.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	675086683737031	675086683796030	7829749071166024	7829751197725156	1625728609.975520	1625728459.035856
1	1	675086688625319	675086688636713	7829751197732800	7829751202567512	1625728609.980374	1625728459.040712
2	2	675086691247430	675086691255383	7829751202573997	7829751205152204	1625728609.983000	1625728459.043304
3	3	675086692953702	675086692960316	7829751205158381	7829751206902368	1625728609.984710	1625728459.045059
4	4	675086698464759	675086698472293	7829751206908582	7829751212380341	1625728609.990238	1625728459.050553
5	5	675086701211575	675086701218093	7829751212386518	7829751215119282	1625728609.992992	1625728459.053300
6	6	675086709053323	675086709061000	7829751215125424	7829751222982941	1625728610.000858	1625728459.061186
7	7	675086709903051	675086709910676	7829751222989106	7829751223824983	1625728610.001710	1625728459.062031
8	8	675086712761626	675086712768116	7829751223831006	7829751226720830	1625728610.004576	1625728459.064935
9	9	675086712791528	675086712797145	7829751226727061	7829751226736172	1625728610.004605	1625728459.064950
10	10	675086722290847	675086722298681	7829751226742132	7829751236223389	1625728610.014134	1625728459.074465
11	11	675086730154271	675086730161777	7829751236229477	7829751244088062	1625728610.022020	1625728459.082353
12	12	675086734402391	675086734409985	7829751244094206	7829751248318758	1625728610.026281	1625728459.086596
13	13	675086738096451	675086738110501	7829751248324885	7829751252052794	1625728610.029992	1625728459.090340
14	14	675086746238615	675086746246022	7829751252059096	7829751260165891	1625728610.038151	1625728459.098477
15	15	675086755553559	675086755561093	7829751260172116	7829751269473973	1625728610.047493	1625728459.107812
16	16	675086760651799	675086760659317	7829751269480191	7829751274598122	1625728610.052606	1625728459.112951
17	17	675086765557079	675086765564597	7829751274604521	7829751279484620	1625728610.057526	1625728459.117852
18	18	675086766451511	675086766458080	7829751279491346	7829751280371779	1625728610.058422	1625728459.118741
19	19	675086770079191	675086770086721	7829751280378065	7829751284008447	1625728610.062061	1625728459.122388
20	20	675086776745847	675086776753373	7829751284014673	7829751290679171	1625728610.068747	1625728459.129079
21	21	675086784071323	675086784079381	7829751290685416	7829751297986803	1625728610.076095	1625728459.136408
22	22	675086784894103	675086784900519	7829751297993241	7829751298833414	1625728610.076918	1625728459.137256
23	23	675086787063575	675086787071101	7829751298839691	7829751300972247	1625728610.079095	1625728459.139402
24	24	675086795243068	675086795253593	7829751300978429	7829751307562372	1625728610.085670	1625728459.146011
25	25	675086813259672	675086813267315	7829751307568639	7829751316563644	1625728610.094703	1625728459.155038
26	26	675086820627992	675086820635646	7829751316569868	7829751320246375	1625728610.098398	1625728459.158731
27	27	675086822131032	675086822137384	7829751320252653	7829751320988923	1625728610.099151	1625728459.159476
28	28	675086822971160	675086822977546	7829751320995053	7829751321386357	1625728610.099573	1625728459.159874
29	29	675086825835544	675086825841857	7829751321392484	7829751322833518	1625728610.101009	1625728459.161326
30	30	675086831147544	675086831155207	7829751322839619	7829751325522519	1625728610.103673	1625728459.164023
31	31	675086832773208	675086832779616	7829751325528693	7829751326314748	1625728610.104488	1625728459.164817
32	32	675086850889240	675086850896786	7829751326320851	7829751335375823	1625728610.113573	1625728459.173905
33	33	675086864613080	675086864620578	7829751335382019	7829751342247818	1625728610.120455	1625728459.180797
34	34	675086870716632	675086870724314	7829751342254057	7829751345279516	1625728610.123515	1625728459.183837
35	35	675086871510232	675086871516603	7829751345285805	7829751345681851	1625728610.123913	1625728459.184241
36	36	675086880920536	675086880928079	7829751345688038	7829751350410685	1625728610.128632	1625728459.188983
37	37	675086887802584	675086887810074	7829751350416857	7829751353845496	1625728610.132083	1625728459.192428
38	38	675086904438168	675086904445726	7829751353851676	7829751362158134	1625728610.140425	1625728459.200765
39	39	675086916896600	675086916904202	7829751362164317	7829751368382200	1625728610.146673	1625728459.207007
40	40	675086933202264	675086933209794	7829751368388438	7829751376544119	1625728610.154849	1625728459.215192
41	41	675086945603992	675086945611498	7829751376550292	7829751382765990	1625728610.161068	1625728459.221432
42	42	675086957593944	675086957601554	7829751382772233	7829751388739053	1625728610.167080	1625728459.227423
43	43	675086967615384	675086967622890	7829751388745320	7829751393716548	1625728610.172106	1625728459.232414
44	44	675086987421276	675086987429462	7829751393722762	7829751403612771	1625728610.182038	1625728459.242339
45	45	675087007048920	675087007056521	7829751403619153	7829751413430145	1625728610.191880	1625728459.252185
46	46	675087017402014	675087017411288	7829751413436505	7829751418615596	1625728610.197073	1625728459.257385
47	47	675087020402264	675087020410045	7829751418621786	7829751420144757	1625728610.198576	1625728459.258919
48	48	675087033219800	675087033227379	7829751420150841	7829751426519749	1625728610.205003	1625728459.265313
49	49	675087048053528	675087048061155	7829751426526008	7829751433936443	1625728610.212442	1625728459.272751
50	50	675087055557784	675087055565491	7829751433942696	7829751437721119	1625728610.216205	1625728459.276546
51	51	675087071621592	675087071629235	7829751437727333	7829751445734906	1625728610.224260	1625728459.284583
52	52	675087086070616	675087086078163	7829751445741109	7829751452951415	1625728610.231506	1625728459.291821
53	53	675087104339928	675087104347525	7829751452957653	7829751462110278	1625728610.240667	1625728459.301006
54	54	675087107995096	675087108002730	7829751462116542	7829751463898182	1625728610.242500	1625728459.302799
55	55	675087123490072	675087123497795	7829751463904346	7829751471667428	1625728610.250270	1625728459.310591
56	56	675087135130008	675087135137613	7829751471673613	7829751477492783	1625728610.256107	1625728459.316433
57	57	675087144624280	675087144631835	7829751477499009	7829751482220252	1625728610.260868	1625728459.321174
58	58	675087150882584	675087150890259	7829751482226508	7829751485355947	1625728610.264006	1625728459.324319
59	59	675087158011032	675087158018629	7829751485362253	7829751488935861	1625728610.267581	1625728459.327909
60	60	675087162092440	675087162099995	7829751488942030	7829751490977180	1625728610.269627	1625728459.329957
61	61	675087169468380	675087169477699	7829751490983393	7829751494653671	1625728610.273327	1625728459.333644
62	62	675087181177560	675087181185204	7829751494660072	7829751500528526	1625728610.279198	1625728459.339536
63	63	675087193921304	675087193928981	7829751500534803	7829751506906307	1625728610.285588	1625728459.345932
64	64	675087211994712	675087212002285	7829751506912595	7829751515918997	1625728610.294651	1625728459.354971
65	65	675087215661208	675087215667711	7829751515925144	7829751517759037	1625728610.296489	1625728459.356816
66	66	675087219836312	675087219844059	7829751517765226	7829751519847007	1625728610.298583	1625728459.358910
67	67	675087223954200	675087223960657	7829751519853133	7829751521891849	1625728610.300648	1625728459.360961
68	68	675087242659453	675087242668550	7829751521898060	7829751531260509	1625728610.310029	1625728459.370356
69	69	675087243523992	675087243530360	7829751531266756	7829751531693787	1625728610.310461	1625728459.370791
70	70	675087262519640	675087262527269	7829751531699939	7829751541205301	1625728610.319987	1625728459.380330
71	71	675087270379480	675087270386968	7829751541211505	7829751545137637	1625728610.323928	1625728459.384274
72	72	675087275913880	675087275921322	7829751545143883	7829751547872853	1625728610.326704	1625728459.387017
73	73	675087290302488	675087290309948	7829751547879080	7829751555092704	1625728610.333919	1625728459.394258
74	74	675087304978712	675087304986319	7829751555098899	7829751562409944	1625728610.341278	1625728459.401596
75	75	675087317810584	675087317818034	7829751562416177	7829751568832161	1625728610.347713	1625728459.408037
76	76	675087337460056	675087337467506	7829751568838369	7829751578637665	1625728610.357566	1625728459.417871
77	77	675087354905560	675087354913060	7829751578643967	7829751587399049	1625728610.366314	1625728459.426658
78	78	675087372805532	675087372813721	7829751587405336	7829751596297523	1625728610.375291	1625728459.435582
79	79	675087374176348	675087374182989	7829751596303914	7829751596995794	1625728610.375977	1625728459.436282
80	80	675087374327398	675087374333044	7829751597002022	7829751597093588	1625728610.376053	1625728459.436380
81	81	675087391574680	675087391582313	7829751597099736	7829751605713073	1625728610.384703	1625728459.445025
82	82	675087401560600	675087401568209	7829751605719395	7829751610694263	1625728610.389710	1625728459.450020
83	83	675087401997656	675087402004031	7829751610700550	7829751610938131	1625728610.389929	1625728459.450265
84	84	675087410892440	675087410899881	7829751610944290	7829751615372760	1625728610.394389	1625728459.454712
85	85	675087428248856	675087428256432	7829751615379005	7829751624034422	1625728610.403093	1625728459.463399
86	86	675087447519397	675087447528322	7829751624040672	7829751633690991	1625728610.412757	1625728459.473083
87	87	675087449789912	675087449797579	7829751633697296	7829751634831541	1625728610.413895	1625728459.474227
88	88	675087467981033	675087467989897	7829751634837679	7829751643905682	1625728610.423017	1625728459.483328
89	89	675087477037272	675087477044906	7829751643911951	7829751648426215	1625728610.427558	1625728459.487861
90	90	675087481539928	675087481547609	7829751648432524	7829751650714527	1625728610.429816	1625728459.490156
91	91	675087501219096	675087501226636	7829751650720803	7829751660520109	1625728610.439684	1625728459.499990
92	92	675087506298008	675087506305548	7829751660526505	7829751663054742	1625728610.442231	1625728459.502532
93	93	675087513788568	675087513796149	7829751663060995	7829751666841640	1625728610.445987	1625728459.506330
94	94	675087524696920	675087524704493	7829751666847854	7829751672266976	1625728610.451457	1625728459.511771
95	95	675087541033176	675087541040820	7829751672273229	7829751680432678	1625728610.459649	1625728459.519961
96	96	675087544299352	675087544306812	7829751680438929	7829751682069102	1625728610.461287	1625728459.521602
97	97	675087551095896	675087551102431	7829751682075280	7829751685457629	1625728610.464695	1625728459.525000
98	98	675087553302104	675087553309704	7829751685463938	7829751686599223	1625728610.465801	1625728459.526145
