Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10015754.156531:33848237210258.144531:16480.000000:19986634.000000
IPGS:10008394.815363:33843793343076.175781:10654.000000:19949697.000000
IPTR:5012939.387139:8475308030530.419922:15018.000000:10015668.000000
IPGR:6343.405741:1041898.907473:5935.000000:44399.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	502339289860705	502339289897564	7657614357750755	7657616235011050	1625555982.639910	1625555836.066236
1	1	502339298253112	502339298264663	7657616235019438	7657616243338547	1625555982.648301	1625555836.074587
2	2	502339300612898	502339300620587	7657616243344867	7657616245675955	1625555982.650664	1625555836.076931
3	3	502339301121250	502339301127867	7657616245682276	7657616246218898	1625555982.651173	1625555836.077476
4	4	502339310584043	502339310591763	7657616246225033	7657616255630214	1625555982.660664	1625555836.086914
5	5	502339313430059	502339313437497	7657616255636423	7657616258517692	1625555982.663518	1625555836.089810
6	6	502339313968971	502339313975472	7657616258523897	7657616259011633	1625555982.664057	1625555836.090306
7	7	502339316522283	502339316529725	7657616259017929	7657616261603254	1625555982.666619	1625555836.092905
8	8	502339323163659	502339323171934	7657616261609435	7657616268216406	1625555982.673281	1625555836.099537
9	9	502339332173771	502339332181285	7657616268222853	7657616277234807	1625555982.682316	1625555836.108582
10	10	502339334002539	502339334009009	7657616277241059	7657616279071250	1625555982.684149	1625555836.110423
11	11	502339340001835	502339340009385	7657616279077381	7657616285057993	1625555982.690167	1625555836.116428
12	12	502339347141387	502339347148869	7657616285064742	7657616292218860	1625555982.697328	1625555836.123609
13	13	502339351382123	502339351389533	7657616292225113	7657616296449675	1625555982.701581	1625555836.127852
14	14	502339360312619	502339360320754	7657616296455990	7657616305399436	1625555982.710538	1625555836.136828
15	15	502339368846699	502339368854145	7657616305405798	7657616313921653	1625555982.719096	1625555836.145375
16	16	502339369508811	502339369515318	7657616313927990	7657616314563964	1625555982.719759	1625555836.146019
17	17	502339379443179	502339379450725	7657616314570208	7657616324528525	1625555982.729723	1625555836.156012
18	18	502339379487897	502339379493525	7657616324534898	7657616324543880	1625555982.729766	1625555836.156027
19	19	502339382053163	502339382059554	7657616324549933	7657616327107384	1625555982.732340	1625555836.158598
20	20	502339386474443	502339386481821	7657616327113523	7657616331541626	1625555982.736775	1625555836.163046
21	21	502339387332459	502339387339839	7657616331547873	7657616332384031	1625555982.737636	1625555836.163890
22	22	502339393271659	502339393279005	7657616332390216	7657616338361521	1625555982.743592	1625555836.169885
23	23	502339398577497	502339398587743	7657616338367782	7657616343189062	1625555982.748476	1625555836.174727
24	24	502339400937505	502339400945070	7657616343195265	7657616344408900	1625555982.749658	1625555836.175950
25	25	502339404030305	502339404036653	7657616344415140	7657616345924378	1625555982.751208	1625555836.177470
26	26	502339414072865	502339414080229	7657616345930640	7657616350954631	1625555982.756245	1625555836.182515
27	27	502339428003774	502339428017719	7657616350960912	7657616357923707	1625555982.763233	1625555836.189504
28	28	502339430224289	502339430230952	7657616357930062	7657616359016442	1625555982.764343	1625555836.190600
29	29	502339447465377	502339447472882	7657616359022705	7657616367681357	1625555982.772989	1625555836.199290
30	30	502339461327137	502339461334556	7657616367687644	7657616374599627	1625555982.779941	1625555836.206228
31	31	502339462032033	502339462038519	7657616374605868	7657616374943161	1625555982.780293	1625555836.206573
32	32	502339479370849	502339479378447	7657616374949398	7657616383607796	1625555982.788989	1625555836.215263
33	33	502339482583713	502339482591236	7657616383613991	7657616385201372	1625555982.790600	1625555836.216861
34	34	502339501782177	502339501789580	7657616385207721	7657616394809127	1625555982.800227	1625555836.226496
35	35	502339514692257	502339514699660	7657616394815406	7657616401279907	1625555982.806701	1625555836.232986
36	36	502339525895713	502339525903275	7657616401286310	7657616406853549	1625555982.812319	1625555836.238576
37	37	502339542713185	502339542720596	7657616406859866	7657616415266670	1625555982.820752	1625555836.247013
38	38	502339556813601	502339556821004	7657616415272951	7657616422334889	1625555982.827823	1625555836.254102
39	39	502339565500897	502339565508292	7657616422341116	7657616426665112	1625555982.832179	1625555836.258445
40	40	502339568225121	502339568232663	7657616426671376	7657616428054989	1625555982.833545	1625555836.259839
41	41	502339572285345	502339572291915	7657616428061289	7657616430050206	1625555982.835581	1625555836.261840
42	42	502339578456161	502339578463596	7657616430056432	7657616433136154	1625555982.838675	1625555836.264934
43	43	502339582433889	502339582440338	7657616433142414	7657616435123332	1625555982.840670	1625555836.266927
44	44	502339593418145	502339593425875	7657616435129454	7657616440652590	1625555982.846178	1625555836.272473
45	45	502339607002273	502339607009716	7657616440658879	7657616447423723	1625555982.852990	1625555836.279263
46	46	502339608298209	502339608305628	7657616447430049	7657616448065381	1625555982.853640	1625555836.279907
47	47	502339615444412	502339615453505	7657616448071604	7657616451650105	1625555982.857224	1625555836.283502
48	48	502339634990881	502339634998547	7657616451656350	7657616461420516	1625555982.867025	1625555836.293301
49	49	502339651887777	502339651895300	7657616461426909	7657616469872064	1625555982.875498	1625555836.301777
50	50	502339667207503	502339667216391	7657616469878338	7657616477537249	1625555982.883181	1625555836.309464
51	51	502339677169569	502339677177218	7657616477543546	7657616482515233	1625555982.888176	1625555836.314456
52	52	502339679680545	502339679688147	7657616482521444	7657616483755990	1625555982.889435	1625555836.315701
53	53	502339683730913	502339683737415	7657616483762188	7657616485800002	1625555982.891466	1625555836.317751
