Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10046743.844269:32734079614204.593750:19809.000000:19960289.000000
IPGS:10039238.563213:32730365305224.796875:14344.000000:19951501.000000
IPTR:5028444.512851:8192375986622.908203:14601.000000:10017505.000000
IPGR:6344.376938:5132352.250082:5898.000000:191169.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	589162834245446	589162834306125	7744132073260108	7744134228799264	1625642747.528340	1625642598.766764
1	1	589162835865480	589162835876737	7744134228807525	7744134230375736	1625642747.529915	1625642598.768344
2	2	589162839459193	589162839468693	7744134230382065	7744134233972245	1625642747.533517	1625642598.771951
3	3	589162848986627	589162848994399	7744134233978549	7744134243513293	1625642747.543071	1625642598.781520
4	4	589162850685277	589162850692061	7744134243519564	7744134245151532	1625642747.544773	1625642598.783163
5	5	589162858024093	589162858031669	7744134245157768	7744134252522440	1625642747.552134	1625642598.790555
6	6	589162858625149	589162858631899	7744134252528690	7744134253115621	1625642747.552736	1625642598.791150
7	7	589162862912381	589162862919835	7744134253121760	7744134257400480	1625642747.557037	1625642598.795447
8	8	589162872573917	589162872581723	7744134257406712	7744134267057554	1625642747.566727	1625642598.805132
9	9	589162880062365	589162880069897	7744134267063870	7744134274573086	1625642747.574237	1625642598.812670
10	10	589162885589341	589162885596895	7744134274579280	7744134280098393	1625642747.579780	1625642598.818211
11	11	589162886027805	589162886034559	7744134280104624	7744134280486226	1625642747.580219	1625642598.818600
12	12	589162891558013	589162891565535	7744134280492335	7744134286074273	1625642747.585766	1625642598.824204
13	13	589162898707482	589162898716930	7744134286080637	7744134293187177	1625642747.592938	1625642598.831337
14	14	589162901166813	589162901174415	7744134293193369	7744134295674380	1625642747.595403	1625642598.833832
15	15	589162903730461	589162903738039	7744134295680586	7744134298215928	1625642747.597974	1625642598.836381
16	16	589162910004509	589162910012099	7744134298222188	7744134304487775	1625642747.604266	1625642598.842671
17	17	589162917184797	589162917192353	7744134304494040	7744134311666876	1625642747.611467	1625642598.849871
18	18	589162917895805	589162917902607	7744134311673198	7744134312399895	1625642747.612180	1625642598.850606
19	19	589162919875709	589162919883215	7744134312406126	7744134314343989	1625642747.614166	1625642598.852556
20	20	589162928617981	589162928625467	7744134314350237	7744134323104880	1625642747.622934	1625642598.861342
21	21	589162937744893	589162937752448	7744134323111092	7744134332213595	1625642747.632087	1625642598.870477
22	22	589162948977897	589162948988370	7744134332219892	7744134339829067	1625642747.639696	1625642598.878114
23	23	589162967523284	589162967530877	7744134339835235	7744134349087308	1625642747.648994	1625642598.887399
24	24	589162983391444	589162983398989	7744134349093521	7744134357051597	1625642747.656951	1625642598.895387
25	25	589162993059668	589162993067261	7744134357057894	7744134361879919	1625642747.661799	1625642598.900229
26	26	589163003593044	589163003600685	7744134361886215	7744134367106397	1625642747.667082	1625642598.905471
27	27	589163010869204	589163010876701	7744134367112690	7744134370789680	1625642747.670730	1625642598.909165
28	28	589163027464340	589163027471837	7744134370795917	7744134379052986	1625642747.679052	1625642598.917452
29	29	589163041033172	589163041040805	7744134379059362	7744134385872076	1625642747.685856	1625642598.924291
30	30	589163058845588	589163058853077	7744134385878356	7744134394732368	1625642747.694788	1625642598.933177
31	31	589163059817172	589163059823863	7744134394738563	7744134395225657	1625642747.695275	1625642598.933671
32	32	589163074904084	589163074911672	7744134395231754	7744134402796585	1625642747.702841	1625642598.941264
33	33	589163083422036	589163083429725	7744134402802831	7744134407027615	1625642747.707112	1625642598.945508
34	34	589163097464788	589163097472429	7744134407033897	7744134414046863	1625642747.714154	1625642598.952547
35	35	589163107489108	589163107496605	7744134414053145	7744134419075031	1625642747.719181	1625642598.957590
36	36	589163113852948	589163113860453	7744134419081255	7744134422270173	1625642747.722372	1625642598.960794
37	37	589163132956500	589163132964221	7744134422276417	7744134431816869	1625642747.731952	1625642598.970369
38	38	589163147937684	589163147945197	7744134431823104	7744134439283485	1625642747.739464	1625642598.977857
39	39	589163149468180	589163149474863	7744134439289708	7744134440075617	1625642747.740231	1625642598.978651
40	40	589163159972748	589163159981853	7744134440081791	7744134445305783	1625642747.745500	1625642598.983897
41	41	589163177416852	589163177424568	7744134445311957	7744134454016818	1625642747.754246	1625642598.992633
42	42	589163184073428	589163184081152	7744134454023149	7744134457351511	1625642747.757585	1625642598.995977
43	43	589163195437780	589163195445306	7744134457357737	7744134463025915	1625642747.763283	1625642599.001668
44	44	589163208037076	589163208044610	7744134463032241	7744134469348291	1625642747.769601	1625642599.008008
45	45	589163221440788	589163221448448	7744134469354551	7744134476067797	1625642747.776322	1625642599.014748
46	46	589163230901332	589163230908872	7744134476074095	7744134480796174	1625642747.781067	1625642599.019490
47	47	589163242281812	589163242290118	7744134480802355	7744134486462833	1625642747.786774	1625642599.025173
48	48	589163249585940	589163249593506	7744134486469186	7744134490097489	1625642747.790436	1625642599.028818
49	49	589163252917012	589163252923948	7744134490103732	7744134491787869	1625642747.792106	1625642599.030513
50	50	589163265061153	589163265070746	7744134491794066	7744134497871078	1625642747.798197	1625642599.036614
51	51	589163276631444	589163276639043	7744134497877333	7744134503643964	1625642747.803998	1625642599.042404
52	52	589163291177428	589163291184962	7744134503650130	7744134510913357	1625642747.811292	1625642599.049694
53	53	589163305225647	589163305239104	7744134510919581	7744134517930450	1625642747.818340	1625642599.056732
54	54	589163309907860	589163309914769	7744134517936689	7744134520267595	1625642747.820684	1625642599.059075
55	55	589163329579092	589163329588434	7744134520273812	7744134530125508	1625642747.830550	1625642599.068962
56	56	589163334068308	589163334075260	7744134530131750	7744134532372995	1625642747.832800	1625642599.071216
57	57	589163350653268	589163350661050	7744134532379231	7744134540679051	1625642747.841117	1625642599.079546
58	58	589163368164180	589163368171923	7744134540685315	7744134549389132	1625642747.849898	1625642599.088281
59	59	589163383789025	589163383798101	7744134549395430	7744134557204728	1625642747.857734	1625642599.096119
60	60	589163391347156	589163391354749	7744134557211015	7744134560983312	1625642747.861523	1625642599.099909
61	61	589163405183508	589163405191248	7744134560989503	7744134567905729	1625642747.868462	1625642599.106851
62	62	589163423767521	589163423776347	7744134567911967	7744134577218310	1625642747.877781	1625642599.116191
63	63	589163433727508	589163433735792	7744134577225159	7744134582196386	1625642747.882775	1625642599.121183
64	64	589163447942804	589163447950904	7744134582202724	7744134589301688	1625642747.889903	1625642599.128309
65	65	589163452906260	589163452913151	7744134589307989	7744134591789531	1625642747.892392	1625642599.130804
66	66	589163453616980	589163453623801	7744134591795744	7744134592137908	1625642747.892748	1625642599.131154
67	67	589163471688212	589163471696062	7744134592144064	7744134601159403	1625642747.901810	1625642599.140202
68	68	589163480577684	589163480585400	7744134601165677	7744134605638736	1625642747.906268	1625642599.144694
69	69	589163500066516	589163500074210	7744134605644954	7744134615396747	1625642747.916041	1625642599.154480
70	70	589163503970964	589163503978488	7744134615403044	7744134617336787	1625642747.917999	1625642599.156426
71	71	589163506097620	589163506104401	7744134617342986	7744134618377254	1625642747.919065	1625642599.157469
72	72	589163515884756	589163515892317	7744134618383396	7744134623259832	1625642747.923973	1625642599.162366
73	73	589163526236628	589163526244304	7744134623266070	7744134628436410	1625642747.929164	1625642599.167557
74	74	589163544765652	589163544773427	7744134628442618	7744134637694842	1625642747.938456	1625642599.176843
75	75	589163561005524	589163561013122	7744134637700981	7744134645820289	1625642747.946599	1625642599.184992
76	76	589163565645140	589163565651897	7744134645826602	7744134648144554	1625642747.948925	1625642599.187322
77	77	589163571539284	589163571547029	7744134648150740	7744134651084756	1625642747.951881	1625642599.190271
78	78	589163575698708	589163575706296	7744134651091065	7744134653174612	1625642747.953967	1625642599.192367
79	79	589163579812820	589163579819569	7744134653180847	7744134655212088	1625642747.956030	1625642599.194411
80	80	589163586001044	589163586008613	7744134655218317	7744134658351792	1625642747.959133	1625642599.197559
81	81	589163604227860	589163604235547	7744134658358066	7744134667461168	1625642747.968273	1625642599.206695
82	82	589163616644641	589163616653636	7744134667467473	7744134673633334	1625642747.974500	1625642599.212885
