Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10033520.096019:33335400797369.476562:16340.000000:19958628.000000
IPGS:10027180.165233:33331503943652.023438:11282.000000:19952431.000000
IPTR:5023644.996900:8345097313833.335938:14818.000000:11548558.000000
IPGR:6335.292329:1235337.070666:5932.000000:54273.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	6837268911157919	6837268911189783	6840149023519176	6840150334700076	1872199343899050.1315001	1624736170.436066
1	1	6837268913690712	6837268913699664	6840150334708322	6840150337164383	1883009776583082.1315001	1624736170.438537
2	2	6837268918613304	6837268918622130	6840150337170769	6840150342094932	1904209735156138.1315001	1624736170.443482
3	3	6837268922218257	6837268922224867	6840150342101261	6840150345727774	1919731746963882.1315001	1624736170.447126
4	4	6837268930504323	6837268930510919	6840150345734004	6840150353990372	1955422925193642.1315001	1624736170.455412
5	5	6837268933094947	6837268933100527	6840150353996669	6840150356580748	1966576955261354.1315001	1624736170.458010
6	6	6837268937306147	6837268937312571	6840150356586907	6840150360809861	1984718897119658.1315001	1624736170.462251
7	7	6837268947249258	6837268947257664	6840150360816033	6840150370715656	2027556900929962.1315001	1624736170.472186
8	8	6837268948320771	6837268948326336	6840150370721842	6840150371806802	2032156810903978.1315001	1624736170.473280
9	9	6837268950800483	6837268950806804	6840150371813091	6840150374295208	2042842689536426.1315001	1624736170.475776
10	10	6837268957140035	6837268957146404	6840150374301332	6840150380631916	2070150091604394.1315001	1624736170.482131
11	11	6837268959202467	6837268959208807	6840150380638158	6840150382712513	2079032083972522.1315001	1624736170.484217
12	12	6837268964097411	6837268964103776	6840150382718729	6840150387589679	2100116078428586.1315001	1624736170.489109
13	13	6837268971949155	6837268971955508	6840150387595904	6840150395455237	2133938945884586.1315001	1624736170.496997
14	14	6837268977200451	6837268977206812	6840150395461601	6840150400681170	2156556243665322.1315001	1624736170.502238
15	15	6837268980648515	6837268980654856	6840150400687491	6840150404115886	2171408240574890.1315001	1624736170.505683
16	16	6837268987044295	6837268987052434	6840150404122187	6840150410537122	2198964750746026.1315001	1624736170.512122
17	17	6837268990190083	6837268990196450	6840150410543489	6840150413668893	2212506782630314.1315001	1624736170.515263
18	18	6837268990885507	6837268990891150	6840150413675184	6840150414369858	2215500374835626.1315001	1624736170.515966
19	19	6837268990979907	6837268990985393	6840150414376272	6840150414465365	2215904101761450.1315001	1624736170.516062
20	20	6837268996083107	6837268996089503	6840150414471716	6840150419546318	2237890039349674.1315001	1624736170.521158
21	21	6837268997057475	6837268997062979	6840150419552633	6840150420537937	2242081927430570.1315001	1624736170.522152
22	22	6837268998116899	6837268998123293	6840150420544205	6840150421585379	2246651772633514.1315001	1624736170.523203
23	23	6837269004182002	6837269004190347	6840150421591597	6840150427652737	2272782353662378.1315001	1624736170.529288
24	24	6837269005401379	6837269005406954	6840150427659182	6840150428895928	2278026508730794.1315001	1624736170.530534
25	25	6837269014638166	6837269014646346	6840150428902233	6840150438113108	2317823675695530.1315001	1624736170.539778
26	26	6837269015028707	6837269015034233	6840150438119560	6840150438511273	2319490123006378.1315001	1624736170.540178
27	27	6837269021210435	6837269021216814	6840150438517567	6840150444683607	2346123215208874.1315001	1624736170.546368
28	28	6837269028427011	6837269028433384	6840150444689930	6840150451901481	2377205893530026.1315001	1624736170.553607
29	29	6837269029722243	6837269029727787	6840150451907811	6840150453191952	2382785056047530.1315001	1624736170.554901
30	30	6837269031308835	6837269031315223	6840150453198236	6840150454788577	2389618349015466.1315001	1624736170.556502
31	31	6837269041046531	6837269041052976	6840150454794890	6840150464544694	2431562999628202.1315001	1624736170.566286
32	32	6837269052709889	6837269052718840	6840150464551029	6840150476093252	2481380325294506.1315001	1624736170.577868
33	33	6837269058189845	6837269058196304	6840150476099527	6840150478830623	2493178600456618.1315001	1624736170.580614
34	34	6837269076948245	6837269076954862	6840150478837000	6840150488238541	2533577062842794.1315001	1624736170.590049
35	35	6837269085108565	6837269085115100	6840150488245091	6840150492331565	2551152069018026.1315001	1624736170.594154
36	36	6837269103438421	6837269103444946	6840150492337896	6840150501479654	2590627113435562.1315001	1624736170.603328
37	37	6837269114064725	6837269114071236	6840150501486001	6840150506755797	2613510699188650.1315001	1624736170.608620
38	38	6837269116066709	6837269116072454	6840150506762075	6840150507796535	2617822846353834.1315001	1624736170.609664
39	39	6837269131552917	6837269131559267	6840150507802734	6840150515517730	2651177562374570.1315001	1624736170.617407
40	40	6837269134801621	6837269134808028	6840150515524025	6840150517154822	2658174064099754.1315001	1624736170.619049
41	41	6837269147690517	6837269147696906	6840150517161107	6840150523579586	2685932437733802.1315001	1624736170.625492
42	42	6837269164139349	6837269164145786	6840150523585868	6840150531843290	2721357327991210.1315001	1624736170.633780
43	43	6837269181450581	6837269181457193	6840150531849515	6840150540454660	2758637644120490.1315001	1624736170.642416
44	44	6837269195502711	6837269195510882	6840150540460877	6840150547472935	2788908573622698.1315001	1624736170.649455
45	45	6837269204020053	6837269204026627	6840150547479240	6840150551754334	2807248083976618.1315001	1624736170.653749
46	46	6837269220455509	6837269220462790	6840150551760611	6840150559967171	2842642909462954.1315001	1624736170.661985
47	47	6837269222018581	6837269222024304	6840150559973441	6840150560759073	2846005868855722.1315001	1624736170.662779
48	48	6837269232001429	6837269232008070	6840150560765376	6840150565740790	2867510770106794.1315001	1624736170.667775
49	49	6837269246970709	6837269246977201	6840150565747064	6840150573207395	2899748794630570.1315001	1624736170.675264
50	50	6837269248474133	6837269248480027	6840150573213652	6840150573952721	2902982905004458.1315001	1624736170.676011
