Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9935267.461992:33322878732334.492188:23956.000000:19959250.000000
IPGS:9928541.522104:33319202523631.777344:18427.000000:19952387.000000
IPTR:4973434.937994:8345215268053.748047:14884.000000:10012423.000000
IPGR:6260.155816:1146088.650254:5906.000000:39988.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	6875143251182578	6875143251247604	6877909273104189	6877910336171766	99619096237461.1315001	1624774037.024327
1	1	6875143260764701	6875143260775821	6877910336179359	6877910345659276	140657508750741.1315001	1624774037.033841
2	2	6875143266271185	6875143266278222	6877910345665677	6877910351181503	164357138290069.1315001	1624774037.039379
3	3	6875143274792145	6875143274812467	6877910351187701	6877910359693556	201113468409237.1315001	1624774037.047916
4	4	6875143276066444	6875143276072742	6877910359717244	6877910360934459	206542307071381.1315001	1624774037.049161
5	5	6875143285667180	6875143285674149	6877910360940648	6877910370544839	247898547164565.1315001	1624774037.058799
6	6	6875143286613772	6875143286619828	6877910370551028	6877910371486522	251970176161173.1315001	1624774037.059743
7	7	6875143292183052	6875143292189832	6877910371492691	6877910377065094	275961863476629.1315001	1624774037.065338
8	8	6875143297539628	6875143297546377	6877910377071219	6877910382443405	299034427790741.1315001	1624774037.070732
9	9	6875143300846764	6875143300853545	6877910382449622	6877910385726754	313280834311573.1315001	1624774037.074025
10	10	6875143307027436	6875143307034213	6877910385732950	6877910391898511	339901041612181.1315001	1624774037.080214
11	11	6875143308360524	6875143308366558	6877910391904723	6877910393238786	345639117919637.1315001	1624774037.081558
12	12	6875143315851180	6875143315857901	6877910393244976	6877910400759268	377907207214485.1315001	1624774037.089101
13	13	6875143322061100	6875143322067892	6877910400765451	6877910406932525	404656263533973.1315001	1624774037.095292
14	14	6875143325895788	6875143325902563	6877910406938732	6877910410764112	421174707754389.1315001	1624774037.099134
15	15	6875143335011212	6875143335018004	6877910410770316	6877910419923172	460435003807125.1315001	1624774037.108320
16	16	6875143339838892	6875143339845654	6877910419929381	6877910424750346	481231235454357.1315001	1624774037.113161
17	17	6875143348829228	6875143348836032	6877910424756624	6877910433730300	519954660595093.1315001	1624774037.122167
18	18	6875143354440012	6875143354446924	6877910433736886	6877910439338818	544122441569685.1315001	1624774037.127792
19	19	6875143356518092	6875143356524888	6877910439345004	6877910441428694	553073153414549.1315001	1624774037.129888
20	20	6875143361576109	6875143361585339	6877910441434899	6877910446356085	574436320744853.1315001	1624774037.134829
