Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10078705.869574:32890483164594.382812:16410.000000:19958472.000000
IPGS:10072173.327365:32886954651387.542969:11378.000000:19951866.000000
IPTR:5043566.240824:8235785227243.896484:14863.000000:10016613.000000
IPGR:6314.314331:1356003.558417:5950.000000:61534.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	7951098104487902	7951098104518887	7952440292346960	7952442434455336	3558721333003840.1315001	1625851456.828683
1	1	7951098109725315	7951098109736259	7952442434464035	7952442439603046	3581192601896512.1315001	1625851456.833844
2	2	7951098112121527	7951098112129864	7952442439609391	7952442442039866	3591504818374208.1315001	1625851456.836288
3	3	7951098115352794	7951098115359449	7952442442046149	7952442445221138	3605411922478656.1315001	1625851456.839479
4	4	7951098122932268	7951098122938935	7952442445227242	7952442452841085	3638062263862848.1315001	1625851456.847121
5	5	7951098127107352	7951098127113962	7952442452847263	7952442457022291	3656045291931200.1315001	1625851456.851314
6	6	7951098130171094	7951098130176896	7952442457028463	7952442460057613	3669235136497216.1315001	1625851456.854358
7	7	7951098138100256	7951098138107062	7952442460063753	7952442467973282	3703393011402304.1315001	1625851456.862297
8	8	7951098146007418	7951098146017826	7952442467979499	7952442475879903	3737469281928768.1315001	1625851456.870226
9	9	7951098150772381	7951098150780555	7952442475886206	7952442480658589	3757982045734464.1315001	1625851456.875019
10	10	7951098158100140	7951098158106796	7952442480664854	7952442488037140	3789541465425472.1315001	1625851456.882419
11	11	7951098165167436	7951098165174127	7952442488043305	7952442495052771	3819979898652224.1315001	1625851456.889455
12	12	7951098172926992	7951098172935899	7952442495058985	7952442502767402	3853064031733312.1315001	1625851456.897192
13	13	7951098186750299	7951098186757155	7952442502773545	7952442510432717	3886135279912512.1315001	1625851456.904879
14	14	7951098199951470	7951098199958201	7952442510438893	7952442517749724	3917724764374592.1315001	1625851456.912217
15	15	7951098205913704	7951098205920337	7952442517755881	7952442521083345	3931992645731904.1315001	1625851456.915560
16	16	7951098213655086	7951098213661919	7952442521089508	7952442525368729	3950516839679552.1315001	1625851456.919858
17	17	7951098228069659	7951098228076373	7952442525375024	7952442533380489	3985014017001024.1315001	1625851456.927893
18	18	7951098235071285	7951098235078067	7952442533386754	7952442537262159	4001764389455424.1315001	1625851456.931786
19	19	7951098251242514	7951098251251853	7952442537268396	7952442546272037	4040470634726976.1315001	1625851456.940822
20	20	7951098256625550	7951098256632354	7952442546278290	7952442549254648	4053346946680384.1315001	1625851456.943813
21	21	7951098271609787	7951098271616290	7952442549260782	7952442557571609	4089201333667392.1315001	1625851456.952154
22	22	7951098273668228	7951098273674322	7952442557577838	7952442558712651	4094127661155904.1315001	1625851456.953299
23	23	7951098277324571	7951098277331122	7952442558718867	7952442560752664	4102876509537856.1315001	1625851456.955345
