Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9918777.553211:33350337490280.710938:17223.000000:20054588.000000
IPGS:9912120.971494:33346411865141.250000:11728.000000:20043637.000000
IPTR:4964672.784278:8349785950302.098633:14963.000000:10055517.000000
IPGR:6314.899990:1344389.155430:5877.000000:84551.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	7571027264025122	7571027264081570	7573169605136634	7573171580711393	275648331561160.1315001	1625471176.064639
1	1	7571027269050754	7571027269061622	7573171580719214	7573171585672668	297097398237384.1315001	1625471176.069614
2	2	7571027273342692	7571027273351156	7573171585679197	7573171589947242	315574347544776.1315001	1625471176.073901
3	3	7571027282476810	7571027282483428	7573171589953655	7573171599055494	354911953008840.1315001	1625471176.083036
4	4	7571027284791804	7571027284798399	7573171599061763	7573171601394326	364884867070152.1315001	1625471176.085381
5	5	7571027286224860	7571027286230764	7573171601400648	7573171602785377	371052440107208.1315001	1625471176.086776
6	6	7571027287286716	7571027287293388	7573171602791582	7573171603879856	375630875244744.1315001	1625471176.087874
7	7	7571027296478716	7571027296485348	7573171603886094	7573171613042364	415221883779272.1315001	1625471176.097063
8	8	7571027301137820	7571027301144464	7573171613048576	7573171617721199	435292265953480.1315001	1625471176.101755
9	9	7571027304274684	7571027304281188	7573171617727501	7573171620856070	448804233066696.1315001	1625471176.104899
10	10	7571027311744604	7571027311751140	7573171620862335	7573171628322373	480977833081032.1315001	1625471176.112387
11	11	7571027320506780	7571027320513443	7573171628328605	7573171637091478	518717710710984.1315001	1625471176.121182
12	12	7571027323906652	7571027323913192	7573171637098124	7573171640471902	533363549190344.1315001	1625471176.124572
13	13	7571027326621628	7571027326628150	7573171640478207	7573171643206066	545058745137352.1315001	1625471176.127314
14	14	7571027334777724	7571027334784282	7573171643212266	7573171651372922	580187282651336.1315001	1625471176.135505
15	15	7571027341989308	7571027341995868	7573171651379199	7573171658590227	611252781103304.1315001	1625471176.142743
16	16	7571027354570817	7571027354580156	7573171658596486	7573171666765520	646505872668872.1315001	1625471176.150941
17	17	7571027363383639	7571027363390327	7573171666771839	7573171671682748	667589867124936.1315001	1625471176.155873
18	18	7571027378754256	7571027378760852	7573171671689029	7573171680196565	704371967047880.1315001	1625471176.164411
19	19	7571027382429021	7571027382435226	7573171680202862	7573171682230787	713163765102792.1315001	1625471176.166452
20	20	7571027383611664	7571027383617521	7573171682237047	7573171682877802	715989853583560.1315001	1625471176.167101
21	21	7571027390811895	7571027390818486	7573171682884039	7573171686913246	733225557342408.1315001	1625471176.171148
22	22	7571027391563287	7571027391570008	7573171686919498	7573171687307143	735020853672136.1315001	1625471176.171543
23	23	7571027395899645	7571027395905647	7573171687313277	7573171689701150	745397494659272.1315001	1625471176.173944
24	24	7571027408741335	7571027408747844	7573171689707419	7573171696868580	776127985662152.1315001	1625471176.181132
25	25	7571027412052932	7571027412058615	7573171696874814	7573171698706110	784052200323272.1315001	1625471176.182975
26	26	7571027416101866	7571027416108449	7573171698712320	7573171700949864	793741646543048.1315001	1625471176.185225
27	27	7571027431774941	7571027431781912	7573171700956125	7573171709660904	831249595939016.1315001	1625471176.193961
28	28	7571027438282186	7571027438288913	7573171709667133	7573171713244579	846818852387016.1315001	1625471176.197555
29	29	7571027440187882	7571027440193859	7573171713250873	7573171714336019	851375812688072.1315001	1625471176.198650
30	30	7571027455711255	7571027455717722	7573171714342166	7573171722951460	888527279798472.1315001	1625471176.207290
31	31	7571027468343799	7571027468350366	7573171722957819	7573171729969744	918755259627720.1315001	1625471176.214329
32	32	7571027483354589	7571027483361777	7573171729976021	7573171738328892	954678366091464.1315001	1625471176.222712
33	33	7571027496812375	7571027496820446	7573171738335286	7573171745790706	986882030876872.1315001	1625471176.230196
34	34	7571027501091225	7571027501099384	7573171745797040	7573171748187053	997121232910536.1315001	1625471176.232599
35	35	7571027515589277	7571027515596294	7573171748193401	7573171756205442	1031811683760328.1315001	1625471176.240641
36	36	7571027529832951	7571027529839712	7573171756211782	7573171764117607	1065896544221384.1315001	1625471176.248576
37	37	7571027536826858	7571027536833604	7573171764123813	7573171768000282	1082634031773896.1315001	1625471176.252469
38	38	7571027553231639	7571027553240645	7573171768006508	7573171776573313	1119347412220104.1315001	1625471176.261067
39	39	7571027560255091	7571027560261849	7573171776579564	7573171780046695	1134469992069320.1315001	1625471176.264551
40	40	7571027561211123	7571027561216924	7573171780052996	7573171780539493	1136527281404104.1315001	1625471176.265045
41	41	7571027572841523	7571027572848234	7573171780545674	7573171786366550	1161575530674376.1315001	1625471176.270889
42	42	7571027582195955	7571027582202739	7573171786372739	7573171790995920	1181723222259912.1315001	1625471176.275532
43	43	7571027584937779	7571027584943757	7573171791002241	7573171792388499	1187624507324616.1315001	1625471176.276928
44	44	7571027597816435	7571027597823115	7573171792394689	7573171798810670	1215365701089480.1315001	1625471176.283369
45	45	7571027605105331	7571027605111247	7573171798817044	7573171802495211	1231059511589064.1315001	1625471176.287064
46	46	7571027610366835	7571027610373381	7573171802501420	7573171805083547	1242393930283208.1315001	1625471176.289660
47	47	7571027625737843	7571027625744450	7573171805089803	7573171812798682	1275495243233480.1315001	1625471176.297398
48	48	7571027634769139	7571027634775714	7573171812804936	7573171817328967	1294947150117064.1315001	1625471176.301941
49	49	7571027640527091	7571027640533842	7573171817335198	7573171820164304	1307346720700616.1315001	1625471176.304784
50	50	7571027641999539	7571027642005505	7573171820170496	7573171820907418	1310516406565064.1315001	1625471176.305530
51	51	7571027659063347	7571027659069890	7573171820913543	7573171829474734	1347268441716936.1315001	1625471176.314122
52	52	7571027671944755	7571027671951360	7573171829480983	7573171835897194	1375009635481800.1315001	1625471176.320563
53	53	7571027689928563	7571027689935221	7573171835903405	7573171844905301	1413741650557128.1315001	1625471176.329597
54	54	7571027695429555	7571027695436424	7573171844911608	7573171847641443	1425591465326792.1315001	1625471176.332341
55	55	7571027704171763	7571027704178527	7573171847647687	7573171852022364	1444416306985160.1315001	1625471176.336735
