Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9893449.363573:33380905774010.039062:17365.000000:19956551.000000
IPGS:9886812.285457:33376579946266.003906:11880.000000:19949993.000000
IPTR:4952186.588259:8355870872968.737305:14550.000000:10020483.000000
IPGR:6324.070307:1074291.235605:5912.000000:38342.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	7873368491606106	7873368491671252	7874814396743651	7874816567962131	3383327753459284.1315001	1625773652.788075
1	1	7873368492997917	7873368493006746	7874816567970101	7874816569271659	3389078714668628.1315001	1625773652.789388
2	2	7873368497048508	7873368497058402	7874816569278002	7874816573354922	3406533461759572.1315001	1625773652.793483
3	3	7873368501442832	7873368501450825	7874816573361115	7874816577737786	3425452792698452.1315001	1625773652.797878
4	4	7873368507176992	7873368507183491	7874816577744031	7874816583459304	3450148854650452.1315001	1625773652.803616
5	5	7873368515560896	7873368515567840	7874816583465559	7874816591821655	3486265234642516.1315001	1625773652.812003
6	6	7873368517633821	7873368517639707	7874816591827889	7874816593907962	3495190176683604.1315001	1625773652.814095
7	7	7873368518175520	7873368518181079	7874816593914091	7874816594455507	3497522343925332.1315001	1625773652.814645
8	8	7873368519999424	7873368520005935	7874816594461564	7874816596301106	3505382134077012.1315001	1625773652.816496
9	9	7873368524535872	7873368524542563	7874816596307309	7874816600830869	3524924235273812.1315001	1625773652.821039
10	10	7873368530325469	7873368530331987	7874816600837111	7874816606605529	3549865110361684.1315001	1625773652.826830
11	11	7873368537349952	7873368537356762	7874816606611671	7874816613624046	3580123154962004.1315001	1625773652.833869
12	12	7873368540884029	7873368540890659	7874816613630289	7874816617157588	3595344519059028.1315001	1625773652.837412
13	13	7873368542861536	7873368542868189	7874816617163756	7874816619144662	3603861439206996.1315001	1625773652.839405
14	14	7873368548688349	7873368548694803	7874816619150803	7874816624973236	3628961228084820.1315001	1625773652.845251
15	15	7873368557280832	7873368557287451	7874816624979560	7874816633584441	3665970961274452.1315001	1625773652.853887
16	16	7873368559529565	7873368559536109	7874816633590716	7874816635824026	3675656112526932.1315001	1625773652.856133
17	17	7873368568604928	7873368568611578	7874816635830355	7874816644883553	3714748904855124.1315001	1625773652.865219
18	18	7873368571997565	7873368572004175	7874816644889839	7874816648268091	3729360383596116.1315001	1625773652.868613
19	19	7873368573719872	7873368573725528	7874816648274419	7874816650006651	3736773497149012.1315001	1625773652.870357
20	20	7873368582630144	7873368582636645	7874816650012942	7874816658922289	3775157619873364.1315001	1625773652.879298
21	21	7873368591742208	7873368591748860	7874816658928632	7874816668032741	3814409325991508.1315001	1625773652.888435
22	22	7873368601450744	7873368601459732	7874816668039235	7874816677648940	3855795630855764.1315001	1625773652.898079
23	23	7873368620247432	7873368620254112	7874816677655244	7874816687068677	3896275697620564.1315001	1625773652.907526
24	24	7873368620393157	7873368620398799	7874816687074958	7874816687084333	3896584935265876.1315001	1625773652.907542
25	25	7873368620585710	7873368620591506	7874816687090456	7874816687188881	3897001547093588.1315001	1625773652.907646
26	26	7873368638864777	7873368638871512	7874816687195028	7874816696352601	3936369217328724.1315001	1625773652.916837
27	27	7873368652843720	7873368652850360	7874816696358835	7874816703321264	3966476938073684.1315001	1625773652.923826
28	28	7873368664221192	7873368664227806	7874816703327475	7874816708995869	3990979726497364.1315001	1625773652.929517
29	29	7873368669897352	7873368669904070	7874816709002152	7874816711827654	4003203203421780.1315001	1625773652.932357
30	30	7873368680636789	7873368680645902	7874816711833859	7874816717207421	4026340192245332.1315001	1625773652.937752
31	31	7873368690617352	7873368690624152	7874816717213619	7874816722235376	4047827913627220.1315001	1625773652.942794
32	32	7873368695048261	7873368695055148	7874816722241628	7874816724425381	4057371330958932.1315001	1625773652.944991
33	33	7873368695405000	7873368695411065	7874816724431696	7874816724619550	4058135835137620.1315001	1625773652.945185
34	34	7873368702623941	7873368702630602	7874816724625811	7874816728208126	4073687911716436.1315001	1625773652.948784
35	35	7873368716656520	7873368716663120	7874816728214529	7874816735227746	4103907301611092.1315001	1625773652.955824
36	36	7873368732963784	7873368732970403	7874816735234058	7874816743390639	4139027249190484.1315001	1625773652.964011
37	37	7873368741063560	7873368741070249	7874816743396979	7874816747423040	4156473406346836.1315001	1625773652.968055
38	38	7873368757748037	7873368757754931	7874816747429289	7874816755784797	4192405102745172.1315001	1625773652.976441
39	39	7873368764285832	7873368764292675	7874816755791043	7874816759065309	4206484005541460.1315001	1625773652.979731
40	40	7873368781595080	7873368781601768	7874816759071510	7874816767680861	4243764321670740.1315001	1625773652.988372
41	41	7873368786564360	7873368786570019	7874816767687180	7874816770165670	4254463085205076.1315001	1625773652.990863
42	42	7873368798303304	7873368798309965	7874816770171939	7874816776043490	4279747557676628.1315001	1625773652.996758
43	43	7873368812464356	7873368812471209	7874816776049751	7874816783161833	15278824445525.1315001	1625773653.003897
44	44	7873368824152979	7873368824161157	7874816783168055	7874816788995705	40455922734677.1315001	1625773653.009748
45	45	7873368836780232	7873368836787088	7874816789002031	7874816795307509	67647360685653.1315001	1625773653.016078
46	46	7873368847326344	7873368847333080	7874816795313832	7874816800583136	90359147746901.1315001	1625773653.021369
47	47	7873368855854600	7873368855861357	7874816800589387	7874816804813898	108724427904597.1315001	1625773653.025612
48	48	7873368871398003	7873368871406579	7874816804820230	7874816812571487	142207992944213.1315001	1625773653.033392
49	49	7873368872773256	7873368872779406	7874816812577911	7874816813268102	145162930443861.1315001	1625773653.034091
50	50	7873368874714376	7873368874720136	7874816813274312	7874816814262951	149341933622869.1315001	1625773653.035089
51	51	7873368886303304	7873368886311344	7874816814269165	7874816820043650	174304283547221.1315001	1625773653.040886
52	52	7873368891343496	7873368891350086	7874816820049996	7874816822580456	185157665904213.1315001	1625773653.043430
53	53	7873368908136584	7873368908143341	7874816822586705	7874816830946987	221325585503829.1315001	1625773653.051821
54	54	7873368919195464	7873368919202235	7874816830953311	7874816836523959	245141179160149.1315001	1625773653.057414
55	55	7873368927262088	7873368927268810	7874816836530251	7874816840554712	262514321872469.1315001	1625773653.061457
56	56	7873368939222408	7873368939229050	7874816840561043	7874816846527341	288275535713877.1315001	1625773653.067446
57	57	7873368944677064	7873368944682995	7874816846533670	7874816849264986	300017976301141.1315001	1625773653.070192
58	58	7873368948301384	7873368948308079	7874816849271280	7874816851056836	307826226845269.1315001	1625773653.071989
59	59	7873368966187912	7873368966194558	7874816851063086	7874816860017169	346347788523093.1315001	1625773653.080975
60	60	7873368970287880	7873368970293793	7874816860023502	7874816862053645	355173946316373.1315001	1625773653.083017
61	61	7873368971898760	7873368971905579	7874816862059886	7874816862849967	358648574858837.1315001	1625773653.083816
62	62	7873368979126408	7873368979133113	7874816862856227	7874816866487694	374213536339541.1315001	1625773653.087465
63	63	7873368985107656	7873368985113413	7874816866494022	7874816869474162	387094143260245.1315001	1625773653.090460
64	64	7873368999178312	7873368999184918	7874816869480452	7874816876492891	417399432500821.1315001	1625773653.097499
65	65	7873369016390856	7873369016397599	7874816876499194	7874816885104419	454469295232597.1315001	1625773653.106135
66	66	7873369016741448	7873369016747324	7874816885110636	7874816885250183	455220914509397.1315001	1625773653.106281
67	67	7873369021916296	7873369021922981	7874816885256396	7874816887842221	466370649609813.1315001	1625773653.108881
68	68	7873369023035720	7873369023041565	7874816887848492	7874816888434621	468780126262869.1315001	1625773653.109475
69	69	7873369040948616	7873369040955320	7874816888440808	7874816897403790	507357522515541.1315001	1625773653.118470
70	70	7873369042404040	7873369042412039	7874816897410478	7874816898105023	510492848641621.1315001	1625773653.119173
71	71	7873369043290504	7873369043296253	7874816898111208	7874816898543782	512399814121045.1315001	1625773653.119613
72	72	7873369050526408	7873369050532975	7874816898549960	7874816902180097	527986250438229.1315001	1625773653.123260
73	73	7873369053041288	7873369053047213	7874816902186405	7874816903423662	533397909231189.1315001	1625773653.124507
74	74	7873369066139408	7873369066146293	7874816903429846	7874816909989813	561611549398613.1315001	1625773653.131093
75	75	7873369070758216	7873369070766175	7874816909996096	7874816912273868	571558693656149.1315001	1625773653.133383
76	76	7873369089745928	7873369089753815	7874816912280092	7874816921788556	612455372248661.1315001	1625773653.142926
77	77	7873369096025352	7873369096032280	7874816921794936	7874816924927474	625975929296469.1315001	1625773653.146073
78	78	7873369115265800	7873369115272418	7874816924933715	7874816934534339	667413773768277.1315001	1625773653.155708
79	79	7873369118893000	7873369118898545	7874816934540654	7874816936324831	675222024312405.1315001	1625773653.157504
80	80	7873369132538312	7873369132544955	7874816936331013	7874816943195502	704612485518933.1315001	1625773653.164394
81	81	7873369142316680	7873369142323264	7874816943201702	7874816948073683	725670710171221.1315001	1625773653.169287
82	82	7873369155640520	7873369155646997	7874816948079878	7874816954744076	754365386675797.1315001	1625773653.175976
83	83	7873369161483464	7873369161489419	7874816954750356	7874816957626884	766949640853077.1315001	1625773653.178868
84	84	7873369168540232	7873369168546784	7874816957633087	7874816961164572	782149530113621.1315001	1625773653.182415
85	85	7873369176817224	7873369176823852	7874816961170814	7874816965296450	799973644392021.1315001	1625773653.186559
86	86	7873369185635656	7873369185642344	7874816965302697	7874816969726749	818965989774933.1315001	1625773653.191002
87	87	7873369192674248	7873369192680875	7874816969733069	7874816973260614	834122929362517.1315001	1625773653.194547
88	88	7873369196255624	7873369196262131	7874816973266924	7874816975053887	841836690626133.1315001	1625773653.196345
89	89	7873369213663688	7873369213670479	7874816975060208	7874816983714444	879327460152917.1315001	1625773653.205031
90	90	7873369219000456	7873369219007057	7874816983720667	7874816986397696	890820792637013.1315001	1625773653.207722
91	91	7873369222788552	7873369222794278	7874816986403938	7874816988293025	898976935532117.1315001	1625773653.209623
92	92	7873369234761352	7873369234767980	7874816988299507	7874816994266000	924768214144597.1315001	1625773653.215613
93	93	7873369246644360	7873369246650981	7874816994272329	7874817000239717	950357629294165.1315001	1625773653.221604
94	94	7873369249830216	7873369249836709	7874817000246033	7874817001828510	957220987033173.1315001	1625773653.223197
95	95	7873369255613448	7873369255619205	7874817001834736	7874817004719633	969672097224277.1315001	1625773653.226097
96	96	7873369267906248	7873369267914228	7874817004725923	7874817010852491	996150570604117.1315001	1625773653.232247
97	97	7873369287583048	7873369287590209	7874817010858767	7874817020698054	1038529012913749.1315001	1625773653.242121
98	98	7873369306466824	7873369306473657	7874817020704292	7874817030155640	1079198058239573.1315001	1625773653.251606
99	99	7873369320956944	7873369320964068	7874817030161890	7874817037368576	1110405290612309.1315001	1625773653.258840
100	100	7873369330009480	7873369330017648	7874817037374876	7874817041892805	1129900147168853.1315001	1625773653.263378
101	101	7873369349328520	7873369349336598	7874817041899098	7874817051560597	1171509790332501.1315001	1625773653.273073
102	102	7873369351049544	7873369351055628	7874817051566983	7874817052401803	1175212052141653.1315001	1625773653.273917
103	103	7873369360030864	7873369360037584	7874817052408013	7874817056934982	1194556584842837.1315001	1625773653.278463
104	104	7873369368521616	7873369368528129	7874817056941258	7874817061166234	1212840260621909.1315001	1625773653.282707
105	105	7873369370097680	7873369370104496	7874817061172545	7874817061960333	1216237579753045.1315001	1625773653.283503
106	106	7873369378813064	7873369378819795	7874817061966527	7874817066293516	1235006586836565.1315001	1625773653.287849
107	107	7873369397072712	7873369397079847	7874817066299700	7874817075452643	1274331307398741.1315001	1625773653.297034
