Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9980215.660532:33430687182668.835938:24036.000000:19960868.000000
IPGS:9973463.874275:33426371441293.496094:18800.000000:19954379.000000
IPTR:4995200.018902:8365659071110.747070:14877.000000:10234408.000000
IPGR:6367.000600:1494483.007001:5917.000000:46156.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	7702668911872275	7702668911972029	7704455879212154	7704458207889589	936841367042811.1315001	1625602811.217554
1	1	7702668916641242	7702668916691494	7704458207897479	7704458212599224	957169447254779.1315001	1625602811.222277
2	2	7702668921204662	7702668921213040	7704458212605668	7704458217141223	976647123942139.1315001	1625602811.226832
3	3	7702668929275737	7702668929285877	7704458217147665	7704458225191991	1011427769105147.1315001	1625602811.234906
4	4	7702668937475940	7702668937483297	7704458225198282	7704458233403891	1046736695245563.1315001	1625602811.243142
5	5	7702668940751748	7702668940758551	7704458233410172	7704458236689090	1060845662812923.1315001	1625602811.246437
6	6	7702668944881476	7702668944888205	7704458236695340	7704458240820593	1078635417352955.1315001	1625602811.250580
7	7	7702668946913316	7702668946919047	7704458240826874	7704458242810491	1087384265734907.1315001	1625602811.252576
8	8	7702668948011204	7702668948016982	7704458242816688	7704458243902954	1092113024727803.1315001	1625602811.253671
9	9	7702668949329476	7702668949336042	7704458243909227	7704458245246837	1097795266460411.1315001	1625602811.255019
10	10	7702668953814852	7702668953821471	7704458245252986	7704458249730621	1117118324325115.1315001	1625602811.259516
11	11	7702668959625700	7702668959632344	7704458249737013	7704458255554956	1142153688693499.1315001	1625602811.265357
12	12	7702668969265412	7702668969272017	7704458255561322	7704458265161525	1183677432511227.1315001	1625602811.274992
13	13	7702668970751940	7702668970757743	7704458265167809	7704458266653720	1190076933782267.1315001	1625602811.276488
14	14	7702668979906692	7702668979913346	7704458266659916	7704458275813610	1229517618461435.1315001	1625602811.285674
15	15	7702668982907748	7702668982914346	7704458275819987	7704458278799068	1242445470022395.1315001	1625602811.288668
16	16	7702668990247460	7702668990254161	7704458278805260	7704458286169588	1274060724288251.1315001	1625602811.296060
17	17	7702668997645732	7702668997652532	7704458286176005	7704458293584427	1305929381624571.1315001	1625602811.303497
18	18	7702669002690500	7702669002697295	7704458293590797	7704458298611379	1327657621175035.1315001	1625602811.308538
19	19	7702669005541220	7702669005547919	7704458298617709	7704458301446096	1339936932674299.1315001	1625602811.311381
20	20	7702669008418052	7702669008424851	7704458301452344	7704458304336026	1352327913323259.1315001	1625602811.314279
21	21	7702669014752100	7702669014758911	7704458304342300	7704458310657407	1379613840554747.1315001	1625602811.320619
22	22	7702669024611228	7702669024620508	7704458310663658	7704458317825422	1410361511426811.1315001	1625602811.327808
23	23	7702669030618813	7702669030625690	7704458317831841	7704458320812220	1423293657955067.1315001	1625602811.330803
24	24	7702669044728893	7702669044735749	7704458320818525	7704458327915089	1453680551574267.1315001	1625602811.337927
25	25	7702669044846185	7702669044885153	7704458327921423	7704458327930494	1454002674121467.1315001	1625602811.337942
26	26	7702669063941757	7702669063948354	7704458327936547	7704458337487822	1495062561471227.1315001	1625602811.347527
