Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9942610.170034:33088735263097.597656:16904.000000:19959904.000000
IPGS:9936166.858572:33084635090445.558594:11579.000000:19953299.000000
IPTR:4976410.947795:8276193594134.170898:14603.000000:10021101.000000
IPGR:6375.785479:1236126.049895:5914.000000:34985.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	7789156949313225	7789156949343539	7790777227061325	7790779026541474	626186382609695.1315001	1625689375.146235
1	1	7789156957227305	7789156957238513	7790779026549284	7790779034438157	660193933659423.1315001	1625689375.154154
2	2	7789156957392187	7789156957398039	7790779034444598	7790779034581095	660881128426783.1315001	1625689375.154297
3	3	7789156963276495	7789156963284609	7790779034587358	7790779040458972	686242910309663.1315001	1625689375.160192
4	4	7789156965591751	7789156965597383	7790779040465253	7790779042794186	696202939469087.1315001	1625689375.162534
5	5	7789156974217671	7789156974224175	7790779042800366	7790779051409962	733367291481375.1315001	1625689375.171175
6	6	7789156978517963	7789156978525822	7790779051416257	7790779055690418	751900075363615.1315001	1625689375.175468
7	7	7789156986829095	7789156986835553	7790779055696721	7790779064003537	787694332808479.1315001	1625689375.183805
8	8	7789156995452295	7789156995458745	7790779064009820	7790779072618006	824841504951583.1315001	1625689375.192445
9	9	7789157000616583	7789157000623034	7790779072624398	7790779077792171	847089435544863.1315001	1625689375.197634
10	10	7789157007534407	7789157007540769	7790779077798375	7790779084710677	876887918644511.1315001	1625689375.204572
11	11	7789157008622087	7789157008627780	7790779084717010	7790779085801470	881569432997151.1315001	1625689375.205666
12	12	7789157010694375	7789157010700702	7790779085807705	7790779087891762	890502964972831.1315001	1625689375.207762
13	13	7789157015327655	7789157015334813	7790779087897938	7790779092521296	910461677997343.1315001	1625689375.212406
14	14	7789157017502407	7789157017507948	7790779092527703	7790779094655265	919824706702623.1315001	1625689375.214545
15	15	7789157021969160	7789157021977000	7790779094661494	7790779099135685	939074750123295.1315001	1625689375.219039
16	16	7789157029633841	7789157029641673	7790779099142002	7790779106822275	972094458694943.1315001	1625689375.226748
17	17	7789157033291623	7789157033298075	7790779106828716	7790779110496251	987844103769375.1315001	1625689375.230432
18	18	7789157034490663	7789157034497113	7790779110502669	7790779111685152	993006654459167.1315001	1625689375.231625
19	19	7789157037416167	7789157037421827	7790779111691406	7790779114626534	1005608088505631.1315001	1625689375.234575
20	20	7789157038980871	7789157038987273	7790779114632844	7790779116168001	1012351187160351.1315001	1625689375.236121
21	21	7789157042762699	7789157042769562	7790779116174246	7790779119948299	1028641998114079.1315001	1625689375.239912
22	22	7789157051966887	7789157051973293	7790779119954567	7790779129161529	1068284546256159.1315001	1625689375.249152
23	23	7789157053235463	7789157053241039	7790779129167833	7790779130401423	1073743449689375.1315001	1625689375.250395
24	24	7789157057633302	7789157057642550	7790779130407554	7790779134437623	1091052167892255.1315001	1625689375.254443
25	25	7789157065914159	7789157065920682	7790779134444054	7790779138570212	1108876282170655.1315001	1625689375.258588
26	26	7789157083726160	7789157083734433	7790779138576439	7790779147474660	1147243225025823.1315001	1625689375.267518
