Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9892405.714143:32654066467855.726562:19424.000000:19957587.000000
IPGS:9884993.850070:32650339464449.941406:14024.000000:19948838.000000
IPTR:4951973.458446:8167815393497.522461:57110.000000:10011701.000000
IPGR:61332.468747:792831970.229444:39514.000000:208430.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	249615838612323	249615838656675	7403307186407855	7403309511198229	1625303534.000000	1625303394.240441
1	1	249615846745729	249615846757814	7403309511374045	7403309519305168	1625303534.000000	1625303394.248571
2	2	249615853609061	249615853616834	7403309519460674	7403309526121849	1625303534.000000	1625303394.255407
3	3	249615854640683	249615854647105	7403309526275958	7403309527163836	1625303534.000000	1625303394.256452
4	4	249615857208210	249615857215658	7403309527318490	7403309529754752	1625303534.000000	1625303394.259051
5	5	249615860289938	249615860297410	7403309529907670	7403309532836771	1625303534.000000	1625303394.262141
6	6	249615868890226	249615868897667	7403309532988741	7403309541402402	1625303534.000000	1625303394.270731
7	7	249615874628018	249615874635444	7403309541585515	7403309547179663	1625303534.000000	1625303394.276526
8	8	249615881670098	249615881677472	7403309547332502	7403309554195500	1625303534.000000	1625303394.283561
9	9	249615890871506	249615890878956	7403309554347572	7403309563404694	1625303534.000000	1625303394.292797
10	10	249615896212375	249615896221808	7403309563556799	7403309568729928	1625303534.000000	1625303394.298137
11	11	249615905528210	249615905536372	7403309568882585	7403309578045309	1625303534.000000	1625303394.307480
12	12	249615908922578	249615908930105	7403309578198474	7403309581462420	1625303534.000000	1625303394.310907
13	13	249615918544338	249615918551933	7403309581615286	7403309591079339	1625303534.000000	1625303394.320551
14	14	249615924087090	249615924094498	7403309591230887	7403309596605345	1625303534.000000	1625303394.326093
15	15	249615925470674	249615925477049	7403309596758721	7403309597998478	1625303534.000000	1625303394.327490
16	16	249615933655378	249615933662983	7403309598151577	7403309606212706	1625303534.000000	1625303394.335728
17	17	249615936809362	249615936816778	7403309606364641	7403309609348196	1625303534.000000	1625303394.338873
18	18	249615940760242	249615940767825	7403309609500623	7403309613294414	1625303534.000000	1625303394.342830
19	19	249615950324091	249615950334318	7403309613447025	7403309622738315	1625303534.000000	1625303394.352301
20	20	249615962936000	249615962943886	7403309622891074	7403309629059726	1625303534.000000	1625303394.358641
21	21	249615974600320	249615974607790	7403309629211730	7403309634885132	1625303534.000000	1625303394.364483
22	22	249615994398144	249615994405622	7403309635038444	7403309644789514	1625303534.000000	1625303394.374416
23	23	249616003644480	249616003652076	7403309644941865	7403309649418388	1625303534.000000	1625303394.379059
24	24	249616022595648	249616022603138	7403309649570654	7403309658876389	1625303534.000000	1625303394.388544
25	25	249616028463424	249616028471165	7403309659029023	7403309661813015	1625303534.000000	1625303394.391489
26	26	249616040821184	249616040828664	7403309661965485	7403309667985359	1625303534.000000	1625303394.397679
27	27	249616041844608	249616041851021	7403309668136990	7403309668530540	1625303534.000000	1625303394.398226
28	28	249616054707776	249616054716098	7403309668682549	7403309674959187	1625303534.000000	1625303394.404673
29	29	249616056111808	249616056118217	7403309675131683	7403309675641135	1625303534.000000	1625303394.405357
30	30	249616073228622	249616073239277	7403309675792010	7403309684209204	1625303534.000000	1625303394.413950
31	31	249616087361344	249616087368859	7403309684361246	7403309691281551	1625303534.000000	1625303394.421042
32	32	249616092148736	249616092156370	7403309691435133	7403309693670462	1625303534.000000	1625303394.423438
33	33	249616109985088	249616109992744	7403309693822295	7403309702580953	1625303534.000000	1625303394.432374
34	34	249616115654272	249616115661699	7403309702733968	7403309705417972	1625303534.000000	1625303394.435219
35	35	249616116591168	249616116597574	7403309705570520	7403309705863194	1625303534.000000	1625303394.435666
36	36	249616129265792	249616129273568	7403309706014710	7403309712237582	1625303534.000000	1625303394.442059
37	37	249616132942976	249616132949686	7403309712390356	7403309714075174	1625303534.000000	1625303394.443901
38	38	249616133368448	249616133374767	7403309714278758	7403309714290383	1625303534.000000	1625303394.444117
39	39	249616150147648	249616150155232	7403309714456618	7403309722690785	1625303534.000000	1625303394.452542
40	40	249616153204224	249616153211811	7403309722842895	7403309724180482	1625303534.000000	1625303394.454036
41	41	249616166689664	249616166697243	7403309724387401	7403309730953126	1625303534.000000	1625303394.460828
42	42	249616169962453	249616169971295	7403309731104887	7403309732626052	1625303534.000000	1625303394.462506
43	43	249616177389376	249616177396859	7403309732776860	7403309736276345	1625303534.000000	1625303394.466167
44	44	249616191839808	249616191847445	7403309736428631	7403309743497617	1625303534.000000	1625303394.473409
45	45	249616196675648	249616196682079	7403309743650186	7403309745933062	1625303534.000000	1625303394.475851
46	46	249616206062784	249616206070195	7403309746085856	7403309750618018	1625303534.000000	1625303394.480550
47	47	249616211611456	249616211619096	7403309750771079	7403309753402506	1625303534.000000	1625303394.483342
48	48	249616222087040	249616222094611	7403309753554393	7403309758629199	1625303534.000000	1625303394.488584
49	49	249616240690560	249616240698296	7403309758781204	7403309767939423	1625303534.000000	1625303394.497921
50	50	249616259729408	249616259736827	7403309768091760	7403309777445197	1625303534.000000	1625303394.507454
51	51	249616271159616	249616271167720	7403309777597479	7403309783174333	1625303534.000000	1625303394.513200
52	52	249616282217600	249616282225272	7403309783327671	7403309788684383	1625303534.000000	1625303394.518726
