Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10053065.432386:33378108619388.140625:16636.000000:23941711.000000
IPGS:10045570.735647:33373897402964.011719:10789.000000:23864543.000000
IPTR:5036651.761576:8350232034942.894531:58211.000000:11953014.000000
IPGR:65278.685369:908914382.402297:40209.000000:308312.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	765651178870926	765651178908734	7918723759995973	7918725885902957	1625819175.000000	1625819022.559808
1	1	765651186666694	765651186678633	7918725886104511	7918725893702138	1625819175.000000	1625819022.567630
2	2	765651190771784	765651190779977	7918725893859098	7918725897780420	1625819175.000000	1625819022.571720
3	3	765651190965448	765651190972121	7918725897988935	7918725898001832	1625819175.000000	1625819022.571942
4	4	765651195403199	765651195414343	7918725898170440	7918725902409415	1625819175.000000	1625819022.576362
5	5	765651202166847	765651202179985	7918725902563664	7918725909184535	1625819175.000000	1625819022.583157
6	6	765651207447234	765651207454885	7918725909338058	7918725914445140	1625819175.000000	1625819022.588432
7	7	765651211859234	765651211867029	7918725914599822	7918725918881142	1625819175.000000	1625819022.592881
8	8	765651214099746	765651214107368	7918725919036125	7918725921128775	1625819175.000000	1625819022.595135
9	9	765651222522722	765651222530414	7918725921282790	7918725929538761	1625819175.000000	1625819022.603570
10	10	765651228067714	765651228075301	7918725929692459	7918725935063971	1625819175.000000	1625819022.609111
11	11	765651233446050	765651233453658	7918725935218296	7918725940440284	1625819175.000000	1625819022.614503
12	12	765651243048834	765651243056467	7918725940594812	7918725950047298	1625819175.000000	1625819022.624137
13	13	765651244672674	765651244680357	7918725950201353	7918725951685506	1625819175.000000	1625819022.625780
14	14	765651252233058	765651252240654	7918725951838440	7918725959254537	1625819175.000000	1625819022.633371
15	15	765651253506882	765651253513575	7918725959409273	7918725960495250	1625819175.000000	1625819022.634615
16	16	765651260322146	765651260329793	7918725960649441	7918725967318736	1625819175.000000	1625819022.641458
17	17	765651262083714	765651262090335	7918725967473451	7918725969106990	1625819175.000000	1625819022.643252
18	18	765651271015922	765651271025334	7918725969260848	7918725978022178	1625819175.000000	1625819022.652193
19	19	765651280411074	765651280418920	7918725978176870	7918725987429651	1625819175.000000	1625819022.661627
20	20	765651280756834	765651280763499	7918725987583450	7918725987792412	1625819175.000000	1625819022.661991
21	21	765651287734402	765651287741949	7918725987945396	7918725994746130	1625819175.000000	1625819022.668965
22	22	765651295961762	765651295969840	7918725994899320	7918726002955624	1625819175.000000	1625819022.677198
23	23	765651305527330	765651305534989	7918726003109592	7918726012523255	1625819175.000000	1625819022.686793
24	24	765651312968258	765651312975825	7918726012831567	7918726019979128	1625819175.000000	1625819022.694271
25	25	765651322472354	765651322479858	7918726020134477	7918726029491458	1625819175.000000	1625819022.703810
26	26	765651327839330	765651327846800	7918726029646623	7918726034867300	1625819175.000000	1625819022.709202
27	27	765651329668098	765651329675882	7918726035021872	7918726036656792	1625819175.000000	1625819022.710996
28	28	765651331841583	765651331848118	7918726036811601	7918726038844146	1625819175.000000	1625819022.713190
29	29	765651339283330	765651339291029	7918726038998021	7918726046316600	1625819175.000000	1625819022.720684
30	30	765651341671010	765651341678569	7918726046470952	7918726048703176	1625819175.000000	1625819022.723077
31	31	765651351299746	765651351307402	7918726048858763	7918726058311550	1625819175.000000	1625819022.732713
32	32	765651358091458	765651358099016	7918726058466060	7918726065081087	1625819175.000000	1625819022.739502
33	33	765651361789730	765651361797237	7918726065235468	7918726068813693	1625819175.000000	1625819022.743246
