Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9996544.762853:33119623168608.085938:16503.000000:19956144.000000
IPGS:9988983.143329:33115509149672.019531:10787.000000:19948524.000000
IPTR:5004364.991899:8280112088835.823242:56816.000000:10014835.000000
IPGR:59431.437744:745459065.595619:38780.000000:215639.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	441657961424397	441657961467754	7595176070195702	7595177957799957	1625495283.000000	1625495137.998902
1	1	441657964564042	441657964575446	7595177957981280	7595177960911720	1625495283.000000	1625495138.002023
2	2	441657969039094	441657969047345	7595177961066827	7595177965389771	1625495283.000000	1625495138.006514
3	3	441657974409063	441657974416818	7595177965541901	7595177970776446	1625495283.000000	1625495138.011916
4	4	441657979928897	441657979936525	7595177970948914	7595177976252847	1625495283.000000	1625495138.017409
5	5	441657987147553	441657987155216	7595177976404588	7595177983520254	1625495283.000000	1625495138.024697
6	6	441657993704801	441657993712587	7595177983671741	7595177990041537	1625495283.000000	1625495138.031237
7	7	441658001854337	441658001862110	7595177990192904	7595177998206554	1625495283.000000	1625495138.039425
8	8	441658002608929	441658002615608	7595177998358724	7595177998946745	1625495283.000000	1625495138.040168
9	9	441658007754817	441658007762422	7595177999098633	7595178004078151	1625495283.000000	1625495138.045314
10	10	441658008827105	441658008833803	7595178004230436	7595178005169373	1625495283.000000	1625495138.046408
11	11	441658016745761	441658016753386	7595178005321207	7595178013087612	1625495283.000000	1625495138.054349
12	12	441658024428097	441658024435768	7595178013240085	7595178020753668	1625495283.000000	1625495138.062037
13	13	441658026329441	441658026336125	7595178020905475	7595178022690685	1625495283.000000	1625495138.063980
14	14	441658030199169	441658030206812	7595178022842128	7595178026527786	1625495283.000000	1625495138.067828
15	15	441658039410401	441658039418415	7595178026679122	7595178035736314	1625495283.000000	1625495138.077063
16	16	441658042786625	441658042795174	7595178035940015	7595178039126049	1625495283.000000	1625495138.080463
17	17	441658043715681	441658043722421	7595178039277370	7595178040056524	1625495283.000000	1625495138.081396
18	18	441658046473249	441658046479846	7595178040207645	7595178042793588	1625495283.000000	1625495138.084141
19	19	441658048505633	441658048513223	7595178042945383	7595178044834430	1625495283.000000	1625495138.086188
20	20	441658055490305	441658055497933	7595178044985268	7595178051812784	1625495283.000000	1625495138.093186
21	21	441658056160929	441658056167690	7595178051965910	7595178052507649	1625495283.000000	1625495138.093883
22	22	441658056283841	441658056290433	7595178052686714	7595178052698065	1625495283.000000	1625495138.094074
23	23	441658064079969	441658064087588	7595178052889851	7595178060427665	1625495283.000000	1625495138.101826
24	24	441658073593296	441658073605523	7595178060580835	7595178069833500	1625495283.000000	1625495138.111259
25	25	441658086345239	441658086353245	7595178069986388	7595178076205099	1625495283.000000	1625495138.117649
26	26	441658097383895	441658097391740	7595178076358103	7595178081730005	1625495283.000000	1625495138.123189
27	27	441658114844636	441658114853862	7595178081881875	7595178090442034	1625495283.000000	1625495138.131927
28	28	441658121590423	441658121598175	7595178090593283	7595178093824821	1625495283.000000	1625495138.135319
29	29	441658133749143	441658133756966	7595178093976455	7595178099898486	1625495283.000000	1625495138.141410
30	30	441658138995991	441658139002566	7595178100049942	7595178102532451	1625495283.000000	1625495138.144052
31	31	441658150950551	441658150958279	7595178102684202	7595178108510627	1625495283.000000	1625495138.150047
32	32	441658161483863	441658161491577	7595178108663154	7595178113786784	1625495283.000000	1625495138.155339
33	33	441658177343191	441658177350996	7595178113939142	7595178121701288	1625495283.000000	1625495138.163276
34	34	441658177564631	441658177571298	7595178121881635	7595178121893217	1625495283.000000	1625495138.163468
35	35	441658179190551	441658179197014	7595178122085329	7595178122646261	1625495283.000000	1625495138.164224
36	36	441658180206615	441658180214295	7595178122796198	7595178123141561	1625495283.000000	1625495138.164720
37	37	441658187619927	441658187627852	7595178123331823	7595178126829939	1625495283.000000	1625495138.168419
38	38	441658188962263	441658188968798	7595178126983259	7595178127521612	1625495283.000000	1625495138.169113
