Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:9971863.470494:33522653547546.226562:16128.000000:19958852.000000
IPGS:9964346.606121:33518467823278.996094:10735.000000:19950187.000000
IPTR:4991486.541554:8385483632772.209961:56699.000000:10009394.000000
IPGR:60702.751975:791216440.118114:39212.000000:268081.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	700540440064398	700540440126584	7853700977979077	7853703539018970	1625754086.000000	1625753934.666433
1	1	700540442969274	700540442981633	7853703539196212	7853703541891128	1625754086.000000	1625753934.669313
2	2	700540443714822	700540443721977	7853703542044551	7853703542635996	1625754086.000000	1625753934.670060
3	3	700540449839000	700540449848345	7853703542787570	7853703548762595	1625754086.000000	1625753934.676204
4	4	700540455059872	700540455067738	7853703548914162	7853703553989195	1625754086.000000	1625753934.681446
5	5	700540464677856	700540464685680	7853703554140067	7853703563596160	1625754086.000000	1625753934.691080
6	6	700540468300512	700540468309680	7853703563746597	7853703567227049	1625754086.000000	1625753934.694722
7	7	700540473581696	700540473589490	7853703567409285	7853703572497175	1625754086.000000	1625753934.700007
8	8	700540482061376	700540482069041	7853703572648584	7853703580967346	1625754086.000000	1625753934.708502
9	9	700540487730112	700540487738433	7853703581177688	7853703586647203	1625754086.000000	1625753934.714198
10	10	700540495528589	700540495536509	7853703586799823	7853703594453865	1625754086.000000	1625753934.722027
11	11	700540498581728	700540498589381	7853703594607795	7853703597490346	1625754086.000000	1625753934.725072
12	12	700540501126912	700540501133478	7853703597641289	7853703600032809	1625754086.000000	1625753934.727622
13	13	700540509763200	700540509770789	7853703600183198	7853703608693949	1625754086.000000	1625753934.736308
14	14	700540509986240	700540509992793	7853703608897602	7853703608909428	1625754086.000000	1625753934.736524
15	15	700540518880288	700540518887869	7853703609075015	7853703617803358	1625754086.000000	1625753934.745444
16	16	700540522265216	700540522272764	7853703617955132	7853703621182665	1625754086.000000	1625753934.748833
17	17	700540528436512	700540528444134	7853703621333961	7853703627358904	1625754086.000000	1625753934.755027
18	18	700540538038274	700540538045852	7853703627509012	7853703636966098	1625754086.000000	1625753934.764662
19	19	700540538869824	700540538876297	7853703637137438	7853703637760656	1625754086.000000	1625753934.765458
20	20	700540548210184	700540548220808	7853703637911635	7853703647021979	1625754086.000000	1625753934.774747
21	21	700540557070090	700540557077837	7853703647205828	7853703651450729	1625754086.000000	1625753934.779188
22	22	700540560534282	700540560542005	7853703651600403	7853703653189067	1625754086.000000	1625753934.780931
23	23	700540577674570	700540577682189	7853703653339191	7853703661755630	1625754086.000000	1625753934.789523
24	24	700540596155850	700540596163469	7853703661906253	7853703671013244	1625754086.000000	1625753934.798807
25	25	700540598337802	700540598345506	7853703671178919	7853703672056455	1625754086.000000	1625753934.799853
26	26	700540614391946	700540614399589	7853703672206097	7853703680122252	1625754086.000000	1625753934.807942
27	27	700540616105162	700540616112742	7853703680272820	7853703680965528	1625754086.000000	1625753934.808788
28	28	700540619073866	700540619080534	7853703681116196	7853703682494918	1625754086.000000	1625753934.810321
29	29	700540633592650	700540633600394	7853703682668582	7853703689736771	1625754086.000000	1625753934.817584
30	30	700540634264586	700540634271206	7853703689887175	7853703690034780	1625754086.000000	1625753934.817883
31	31	700540650966794	700540650974414	7853703690185216	7853703698386577	1625754086.000000	1625753934.826259
32	32	700540658722792	700540658732244	7853703698537745	7853703702269457	1625754086.000000	1625753934.830153
33	33	700540662179594	700540662187455	7853703702420328	7853703704011572	1625754086.000000	1625753934.831900
34	34	700540663229770	700540663236370	7853703704161592	7853703704511208	1625754086.000000	1625753934.832401
35	35	700540680809610	700540680817254	7853703704661109	7853703713323805	1625754086.000000	1625753934.841239
36	36	700540681777994	700540681784602	7853703713473800	7853703713819130	1625754086.000000	1625753934.841736
37	37	700540693987338	700540693995087	7853703713968881	7853703719893710	1625754086.000000	1625753934.847828
38	38	700540709225482	700540709233165	7853703720043879	7853703727509902	1625754086.000000	1625753934.855466
39	39	700540728477898	700540728485549	7853703727660479	7853703737167966	1625754086.000000	1625753934.865152
40	40	700540730162186	700540730168794	7853703737318859	7853703738012380	1625754086.000000	1625753934.865999
41	41	700540746355914	700540746363738	7853703738163374	7853703746076589	1625754086.000000	1625753934.874086
42	42	700540749698634	700540749705265	7853703746227017	7853703747765482	1625754086.000000	1625753934.875780
43	43	700540755352266	700540755359951	7853703747915477	7853703750602104	1625754086.000000	1625753934.878625
44	44	700540770239893	700540770249026	7853703750751927	7853703758023393	1625754086.000000	1625753934.886068
45	45	700540775136970	700540775144883	7853703758173677	7853703760458534	1625754086.000000	1625753934.888510
46	46	700540789112650	700540789120454	7853703760608604	7853703767481191	1625754086.000000	1625753934.895553
47	47	700540808907722	700540808915419	7853703767631832	7853703777386816	1625754086.000000	1625753934.905487
48	48	700540828035274	700540828043584	7853703777536350	7853703786950440	1625754086.000000	1625753934.915078
49	49	700540846224906	700540846232800	7853703787101781	7853703795999263	1625754086.000000	1625753934.924153
50	50	700540864631498	700540864639184	7853703796151013	7853703805213609	1625754086.000000	1625753934.933394
51	51	700540880944202	700540880951896	7853703805363817	7853703813378948	1625754086.000000	1625753934.941582
52	52	700540891958538	700540891966590	7853703813531690	7853703818904383	1625754086.000000	1625753934.947124
53	53	700540894685578	700540894693514	7853703819055279	7853703820244522	1625754086.000000	1625753934.948468
54	54	700540902299850	700540902307629	7853703820463498	7853703824079326	1625754086.000000	1625753934.952314
55	55	700540917913674	700540917921299	7853703824229592	7853703831894052	1625754086.000000	1625753934.960151
56	56	700540927480842	700540927488469	7853703832044138	7853703836674350	1625754086.000000	1625753934.964945
57	57	700540936904202	700540936911983	7853703836825443	7853703841351387	1625754086.000000	1625753934.969635
58	58	700540951357194	700540951364819	7853703841501492	7853703848619124	1625754086.000000	1625753934.976924
59	59	700540960581258	700540960588877	7853703848769536	7853703853198931	1625754086.000000	1625753934.981517
60	60	700540964714250	700540964720874	7853703853349774	7853703855285488	1625754086.000000	1625753934.983610
61	61	700540975148362	700540975156167	7853703855436602	7853703860465539	1625754086.000000	1625753934.988805
62	62	700540992246053	700540992257561	7853703860615328	7853703869027756	1625754086.000000	1625753934.997392
63	63	700540993617674	700540993624409	7853703869178155	7853703869720809	1625754086.000000	1625753934.998087
64	64	700541011645646	700541011654288	7853703869870200	7853703878741931	1625754086.000000	1625753935.007134
65	65	700541021672394	700541021680170	7853703878893489	7853703883750801	1625754086.000000	1625753935.012157
66	66	700541024968074	700541024974661	7853703883901650	7853703885393241	1625754086.000000	1625753935.013804
67	67	700541037786378	700541037794058	7853703885542749	7853703891826227	1625754086.000000	1625753935.020256
68	68	700541044485130	700541044491725	7853703891977108	7853703895160411	1625754086.000000	1625753935.023600
69	69	700541061501706	700541061509474	7853703895310463	7853703903672407	1625754086.000000	1625753935.032136
70	70	700541062448714	700541062455398	7853703903821988	7853703904117032	1625754086.000000	1625753935.032582
71	71	700541079981898	700541079989574	7853703904266256	7853703912931177	1625754086.000000	1625753935.041421
72	72	700541089715722	700541089723381	7853703913082408	7853703917755278	1625754086.000000	1625753935.046259
73	73	700541099860618	700541099868426	7853703917905431	7853703922836458	1625754086.000000	1625753935.051355
74	74	700541108016394	700541108024053	7853703922986904	7853703926918065	1625754086.000000	1625753935.055449
75	75	700541113382922	700541113390581	7853703927067935	7853703929602216	1625754086.000000	1625753935.058141
76	76	700541119343242	700541119350901	7853703929752542	7853703932591028	1625754086.000000	1625753935.061138
77	77	700541129885706	700541129893442	7853703932742147	7853703937870572	1625754086.000000	1625753935.066433
78	78	700541147996874	700541148004661	7853703938021494	7853703946928703	1625754086.000000	1625753935.075517
79	79	700541167337738	700541167345373	7853703947078288	7853703956585462	1625754086.000000	1625753935.085201
80	80	700541177438346	700541177445981	7853703956754848	7853703961613104	1625754086.000000	1625753935.090244
81	81	700541188677706	700541188685490	7853703961763966	7853703967237781	1625754086.000000	1625753935.095885
82	82	700541199985610	700541199993245	7853703967388123	7853703972912276	1625754086.000000	1625753935.101575
83	83	700541215152229	700541215161291	7853703973062172	7853703980478595	1625754086.000000	1625753935.109163
84	84	700541228525130	700541228532831	7853703980628949	7853703987198158	1625754086.000000	1625753935.115902
85	85	700541239261322	700541239269067	7853703987348619	7853703992525277	1625754086.000000	1625753935.121245
86	86	700541241028490	700541241035580	7853703992637618	7853703993418360	1625754086.000000	1625753935.122140
87	87	700541247444298	700541247452067	7853703993531220	7853703996654628	1625754086.000000	1625753935.125386
88	88	700541259226122	700541259233843	7853703996702516	7853704002530163	1625754086.000000	1625753935.131278
89	89	700541264522442	700541264530307	7853704002638700	7853704005163485	1625754086.000000	1625753935.133920
90	90	700541265949450	700541265956124	7853704005275066	7853704005913779	1625754086.000000	1625753935.134672
91	91	700541283514442	700541283522139	7853704005960829	7853704014676184	1625754086.000000	1625753935.143460
92	92	700541285376458	700541285384155	7853704014722418	7853704015619038	1625754086.000000	1625753935.144405
93	93	700541296547850	700541296555643	7853704015664990	7853704021196631	1625754086.000000	1625753935.149999
94	94	700541313955274	700541313963196	7853704021309168	7853704029907771	1625754086.000000	1625753935.158735
95	95	700541314320010	700541314326692	7853704029954364	7853704030051952	1625754086.000000	1625753935.158879
96	96	700541316148106	700541316155859	7853704030094116	7853704030999943	1625754086.000000	1625753935.159830
97	97	700541331284554	700541331292419	7853704031046353	7853704038569281	1625754086.000000	1625753935.167421
98	98	700541350113290	700541350121027	7853704038615655	7853704047976717	1625754086.000000	1625753935.176856
99	99	700541353872010	700541353878716	7853704048022899	7853704049864139	1625754086.000000	1625753935.178749
100	100	700541355165322	700541355171996	7853704049910121	7853704050512418	1625754086.000000	1625753935.179399
101	101	700541372278538	700541372286323	7853704050558086	7853704059077345	1625754086.000000	1625753935.187989
102	102	700541379408010	700541379414808	7853704059124252	7853704062611568	1625754086.000000	1625753935.191533
103	103	700541380358282	700541380365998	7853704062719669	7853704063105014	1625754086.000000	1625753935.192028
104	104	700541392038218	700541392046569	7853704063215820	7853704068930311	1625754086.000000	1625753935.197870
105	105	700541407278346	700541407286138	7853704068977417	7853704076539472	1625754086.000000	1625753935.205501
106	106	700541415955082	700541415963478	7853704076586650	7853704080874043	1625754086.000000	1625753935.209848
107	107	700541431633162	700541431640910	7853704080920830	7853704088750698	1625754086.000000	1625753935.217747
108	108	700541448701221	700541448710240	7853704088797499	7853704097253003	1625754086.000000	1625753935.226274
109	109	700541451121034	700541451127932	7853704097300142	7853704098502457	1625754086.000000	1625753935.227527
