Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10048861.418384:33224766485280.339844:16315.000000:20221886.000000
IPGS:10041457.054111:33221182933140.804688:10819.000000:20209685.000000
IPTR:5030137.199520:8304218112503.682617:56859.000000:10103646.000000
IPGR:58486.210621:708006800.405524:38053.000000:259487.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	502197214885556	502197214923171	7655683808505814	7655685766357324	1625555890.000000	1625555744.100753
1	1	502197223287366	502197223299614	7655685766531663	7655685774708565	1625555890.000000	1625555744.109129
2	2	502197226660407	502197226668455	7655685774864150	7655685778092115	1625555890.000000	1625555744.112522
3	3	502197232312599	502197232320179	7655685778245836	7655685783716846	1625555890.000000	1625555744.118163
4	4	502197233758513	502197233765273	7655685783868667	7655685785159143	1625555890.000000	1625555744.119609
5	5	502197236749649	502197236757173	7655685785366979	7655685788144023	1625555890.000000	1625555744.122603
6	6	502197238726545	502197238733181	7655685788295883	7655685790134574	1625555890.000000	1625555744.124599
7	7	502197244551025	502197244558626	7655685790287456	7655685796012789	1625555890.000000	1625555744.130495
8	8	502197245764913	502197245771481	7655685796165660	7655685797206513	1625555890.000000	1625555744.131692
9	9	502197249740977	502197249748492	7655685797359608	7655685801138946	1625555890.000000	1625555744.135635
10	10	502197251486993	502197251494429	7655685801292228	7655685802926644	1625555890.000000	1625555744.137428
11	11	502197260301745	502197260309313	7655685803079822	7655685811740838	1625555890.000000	1625555744.146268
12	12	502197265311473	502197265318995	7655685811893194	7655685816718635	1625555890.000000	1625555744.151260
13	13	502197274026321	502197274033851	7655685816871747	7655685825429531	1625555890.000000	1625555744.159996
14	14	502197274788017	502197274794689	7655685825582881	7655685826223432	1625555890.000000	1625555744.160792
15	15	502197282507409	502197282514905	7655685826378152	7655685833944074	1625555890.000000	1625555744.168535
16	16	502197290474545	502197290482069	7655685834097694	7655685841907493	1625555890.000000	1625555744.176521
17	17	502197297876369	502197297883923	7655685842060048	7655685849272420	1625555890.000000	1625555744.183907
18	18	502197304981745	502197304989253	7655685849425562	7655685856391235	1625555890.000000	1625555744.191047
19	19	502197310281937	502197310289489	7655685856543808	7655685861716886	1625555890.000000	1625555744.196388
20	20	502197316194929	502197316202471	7655685861869367	7655685867639883	1625555890.000000	1625555744.202328
21	21	502197322128481	502197322138990	7655685867792228	7655685873463935	1625555890.000000	1625555744.208168
22	22	502197337649691	502197337657366	7655685873617643	7655685881231144	1625555890.000000	1625555744.215958
23	23	502197351094299	502197351101869	7655685881386946	7655685887949158	1625555890.000000	1625555744.222696
24	24	502197365418715	502197365426277	7655685888160720	7655685895123313	1625555890.000000	1625555744.229890
