Statitics Section
Total number of PDU recieved 10000
param:mean:var;min;max
IPTS:10080198.581416:32897976585003.171875:16129.000000:22322367.000000
IPGS:10072547.409582:32893362554849.378906:10816.000000:22254924.000000
IPTR:5045740.411141:8221508173514.390625:57201.000000:11155101.000000
IPGR:60365.624662:767782489.404917:38813.000000:279390.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	588893499340896	588893499398220	7742241621523055	7742244207408341	1625642528.000000	1625642379.350801
1	1	588893500974113	588893500984117	7742244207606851	7742244208998092	1625642528.000000	1625642379.352395
2	2	588893502642210	588893502651810	7742244209151284	7742244210639380	1625642528.000000	1625642379.354041
3	3	588893506960677	588893506968710	7742244210790243	7742244214973030	1625642528.000000	1625642379.358388
4	4	588893513091408	588893513099108	7742244215124596	7742244221096242	1625642528.000000	1625642379.364529
5	5	588893517201475	588893517209218	7742244221247213	7742244225227354	1625642528.000000	1625642379.368672
6	6	588893517324016	588893517330577	7742244225406608	7742244225418011	1625642528.000000	1625642379.368863
7	7	588893524629315	588893524637068	7742244225611633	7742244232644755	1625642528.000000	1625642379.376110
8	8	588893531013923	588893531021776	7742244232795832	7742244239015823	1625642528.000000	1625642379.382500
9	9	588893536168163	588893536175862	7742244239165757	7742244244192573	1625642528.000000	1625642379.387691
10	10	588893538681315	588893538689056	7742244244344605	7742244246677041	1625642528.000000	1625642379.390183
11	11	588893538989987	588893538996626	7742244246827545	7742244246995570	1625642528.000000	1625642379.390503
12	12	588893542048099	588893542055960	7742244247146454	7742244250062609	1625642528.000000	1625642379.393578
13	13	588893549010627	588893549018378	7742244250213781	7742244257035087	1625642528.000000	1625642379.400571
14	14	588893557166224	588893557173906	7742244257186458	7742244265199334	1625642528.000000	1625642379.408759
15	15	588893566790531	588893566798314	7742244265351005	7742244274805176	1625642528.000000	1625642379.418392
16	16	588893573107683	588893573115416	7742244274955805	7742244281128871	1625642528.000000	1625642379.424734
17	17	588893580107267	588893580114893	7742244281280338	7742244288096322	1625642528.000000	1625642379.431722
18	18	588893587657411	588893587665108	7742244288247406	7742244295662475	1625642528.000000	1625642379.439310
19	19	588893589317475	588893589324087	7742244295813930	7742244297300229	1625642528.000000	1625642379.440952
20	20	588893594454499	588893594462236	7742244297450281	7742244302481503	1625642528.000000	1625642379.446148
21	21	588893597893667	588893597901426	7742244302632480	7742244305915947	1625642528.000000	1625642379.449593
22	22	588893599532515	588893599539058	7742244306066614	7742244307555881	1625642528.000000	1625642379.451237
23	23	588893608990333	588893609000694	7742244307706969	7742244316668261	1625642528.000000	1625642379.460376
24	24	588893620187237	588893620195013	7742244316819235	7742244322292604	1625642528.000000	1625642379.466017
25	25	588893636048549	588893636056202	7742244322443601	7742244330207299	1625642528.000000	1625642379.473954
