Statitics Section
Total number of PDU recieved 100
param:mean:var;min;max
IPTS:26852.857143:613194282.288660:11070.000000:129996.000000
IPGS:16255.244898:504607177.568273:6387.000000:121971.000000
IPTR:33644.505051:298309990.987219:14892.000000:138883.000000
IPGR:15601.616162:224770938.524634:5971.000000:101168.000000

*************************************************************************************************
Index	SeqNo	S.start	S.stop	R.start	R.stop	DeptTime	ArrTime
0	0	5435869188198119	5435869188253025	5439056995460936	5439060103553190	3357175695151634.1315001	1623331346.781862
1	1	5435869188288647	5435869188297017	5439060103596527	5439060103633045	3357360378745362.1315001	1623331346.781941
2	2	5435869188325259	5435869188331400	5439060103639430	5439060103650485	3357510702600722.1315001	1623331346.781958
3	3	5435869188338070	5435869188344259	5439060103680437	5439060103690798	3357566537175570.1315001	1623331346.781999
4	4	5435869188350946	5435869188356948	5439060103696863	5439060103730195	3357618076783122.1315001	1623331346.782038
5	5	5435869188387935	5435869188395636	5439060103736280	5439060103745984	3357785580507666.1315001	1623331346.782054
6	6	5435869188423146	5435869188429083	5439060103751993	5439060103789378	3357931609395730.1315001	1623331346.782098
7	7	5435869188435670	5435869188441187	5439060103795604	5439060103804472	3357983149003282.1315001	1623331346.782113
8	8	5435869188516412	5435869188524429	5439060103834042	5439060103843665	3358339631288850.1315001	1623331346.782152
9	9	5435869188531350	5435869188537046	5439060103849761	5439060103887619	3358395465863698.1315001	1623331346.782196
10	10	5435869188543650	5435869188569165	5439060103893696	5439060103902778	3358532904817170.1315001	1623331346.782211
11	11	5435869188576150	5435869188581614	5439060103933085	5439060103942322	3358588739392018.1315001	1623331346.782251
12	12	5435869188588278	5435869188593745	5439060103948338	5439060103987054	3358640278999570.1315001	1623331346.782296
13	13	5435869188600758	5435869188606228	5439060103993376	5439060104003742	3358696113574418.1315001	1623331346.782313
14	14	5435869188612950	5435869188618749	5439060104033796	5439060104044036	3358747653181970.1315001	1623331346.782353
15	15	5435869188625334	5435869188631654	5439060104050173	5439060104089008	3358803487756818.1315001	1623331346.782398
16	16	5435869188638146	5435869188643908	5439060104095158	5439060104129025	3358855027364370.1315001	1623331346.782439
17	17	5435869188721879	5435869188730041	5439060104135442	5439060104145631	3359228689519122.1315001	1623331346.782455
18	18	5435869188736758	5435869188742432	5439060104151667	5439060104188664	3359280229126674.1315001	1623331346.782498
19	19	5435869188819470	5435869188827173	5439060104194764	5439060104203669	3359645301346834.1315001	1623331346.782513
20	20	5435869188833974	5435869188839534	5439060104233010	5439060104242802	3359701135921682.1315001	1623331346.782552
21	21	5435869188866111	5435869188872063	5439060104248807	5439060104281896	3359838574875154.1315001	1623331346.782592
22	22	5435869188878838	5435869188884187	5439060104287972	5439060104297788	3359890114482706.1315001	1623331346.782608
23	23	5435869188891042	5435869188915082	5439060104331044	5439060104340460	3360023258468882.1315001	1623331346.782650
24	24	5435869188921791	5435869188927258	5439060104346450	5439060104379863	3360079093043730.1315001	1623331346.782690
25	25	5435869188933942	5435869188939286	5439060104385970	5439060104395210	3360130632651282.1315001	1623331346.782705
26	26	5435869188965962	5435869188971114	5439060104401511	5439060104438758	3360268071604754.1315001	1623331346.782749
27	27	5435869188977698	5435869188982471	5439060104445126	5439060104479480	3360315316245010.1315001	1623331346.782790
28	28	5435869188989270	5435869188993982	5439060104485579	5439060104495690	3360362560885266.1315001	1623331346.782806
29	29	5435869189115953	5435869189123664	5439060104501753	5439060104538976	3360925201601042.1315001	1623331346.782850
30	30	5435869189130518	5435869189135662	5439060104545246	5439060104580532	3360976741208594.1315001	1623331346.782891
31	31	5435869189142198	5435869189219846	5439060104586671	5439060104596730	3361337518461458.1315001	1623331346.782907
32	32	5435869189226519	5435869189232593	5439060104630872	5439060104641722	3361393353036306.1315001	1623331346.782952
33	33	5435869189239254	5435869189313848	5439060104647860	5439060104682312	3361741245387282.1315001	1623331346.782993
34	34	5435869189320566	5435869189327690	5439060104688403	5439060104697459	3361801374929426.1315001	1623331346.783008
35	35	5435869189334326	5435869189339477	5439060104731460	5439060104742082	3361852914536978.1315001	1623331346.783053
36	36	5435869189459608	5435869189469473	5439060104748117	5439060104780670	3362411260285458.1315001	1623331346.783092
37	37	5435869189476516	5435869189481754	5439060104786790	5439060104795670	3362467094860306.1315001	1623331346.783107
38	38	5435869189488246	5435869189540071	5439060104825516	5439060104835927	3362716202963474.1315001	1623331346.783147
39	39	5435869189567286	5435869189574629	5439060104842133	5439060104851329	3362866526818834.1315001	1623331346.783192
40	40	5435869189581430	5435869189586609	5439060104886616	5439060104896908	3362918066426386.1315001	1623331346.783208
